--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 49.79s | Cur: 1254.78W (S:25.81%) | Std: 43.04 | Best: 1254.78W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 48.99s | Cur: 1260.43W (S:25.93%) | Std: 43.99 | Best: 1254.78W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 48.86s | Cur: 1243.48W (S:25.58%) | Std: 37.82 | Best: 1243.48W
Gen 3 (ES) | Pop: 128 | Sigma: 0.151 | Time: 48.89s | Cur: 1243.48W (S:25.58%) | Std: 37.40 | Best: 1243.48W
Gen 4 (ES) | Pop: 128 | Sigma: 0.154 | Time: 47.36s | Cur: 1254.78W (S:25.81%) | Std: 40.02 | Best: 1243.48W
Gen 5 (ES) | Pop: 128 | Sigma: 0.158 | Time: 47.81s | Cur: 1209.57W (S:24.88%) | Std: 39.12 | Best: 1209.57W
Gen 6 (ES) | Pop: 128 | Sigma: 0.153 | Time: 48.89s | Cur: 1209.57W (S:24.88%) | Std: 36.06 | Best: 1209.57W
Gen 7 (ES) | Pop: 128 | Sigma: 0.156 | Time: 46.24s | Cur: 1237.83W (S:25.47%) | Std: 31.17 | Best: 1209.57W
Gen 8 (ES) | Pop: 128 | Sigma: 0.159 | Time: 46.15s | Cur: 1226.52W (S:25.23%) | Std: 33.64 | Best: 1209.57W
Gen 9 (ES) | Pop: 128 | Sigma: 0.163 | Time: 48.55s | Cur: 1232.17W (S:25.35%) | Std: 28.93 | Best: 1209.57W
Gen 10 (ES) | Pop: 128 | Sigma: 0.166 | Time: 48.94s | Cur: 1209.57W (S:24.88%) | Std: 29.82 | Best: 1209.57W
Gen 11 (ES) | Pop: 128 | Sigma: 0.169 | Time: 47.72s | Cur: 1226.52W (S:25.23%) | Std: 32.00 | Best: 1209.57W
Gen 12 (ES) | Pop: 128 | Sigma: 0.173 | Time: 48.86s | Cur: 1181.30W (S:24.30%) | Std: 33.82 | Best: 1181.30W
Gen 13 (ES) | Pop: 128 | Sigma: 0.169 | Time: 49.72s | Cur: 1215.22W (S:25.00%) | Std: 28.72 | Best: 1181.30W
Gen 14 (ES) | Pop: 128 | Sigma: 0.172 | Time: 48.47s | Cur: 1164.35W (S:23.95%) | Std: 26.40 | Best: 1164.35W
Gen 15 (ES) | Pop: 128 | Sigma: 0.170 | Time: 48.27s | Cur: 1192.61W (S:24.53%) | Std: 25.99 | Best: 1164.35W
Gen 16 (ES) | Pop: 128 | Sigma: 0.173 | Time: 48.79s | Cur: 1192.61W (S:24.53%) | Std: 25.77 | Best: 1164.35W
Gen 17 (ES) | Pop: 128 | Sigma: 0.176 | Time: 49.45s | Cur: 1209.57W (S:24.88%) | Std: 26.67 | Best: 1164.35W
Gen 18 (ES) | Pop: 128 | Sigma: 0.180 | Time: 49.28s | Cur: 1198.26W (S:24.65%) | Std: 28.67 | Best: 1164.35W
Gen 19 (ES) | Pop: 128 | Sigma: 0.183 | Time: 48.29s | Cur: 1215.22W (S:25.00%) | Std: 24.66 | Best: 1164.35W
Gen 20 (ES) | Pop: 128 | Sigma: 0.187 | Time: 48.04s | Cur: 1198.26W (S:24.65%) | Std: 23.59 | Best: 1164.35W
Gen 21 (ES) | Pop: 128 | Sigma: 0.191 | Time: 48.35s | Cur: 1203.91W (S:24.77%) | Std: 24.05 | Best: 1164.35W
Gen 22 (ES) | Pop: 128 | Sigma: 0.195 | Time: 48.28s | Cur: 1181.30W (S:24.30%) | Std: 23.94 | Best: 1164.35W
Gen 23 (ES) | Pop: 128 | Sigma: 0.199 | Time: 51.21s | Cur: 1203.91W (S:24.77%) | Std: 24.26 | Best: 1164.35W
Gen 24 (ES) | Pop: 128 | Sigma: 0.203 | Time: 49.15s | Cur: 1186.96W (S:24.42%) | Std: 23.74 | Best: 1164.35W
Gen 25 (ES) | Pop: 128 | Sigma: 0.207 | Time: 50.86s | Cur: 1186.96W (S:24.42%) | Std: 23.41 | Best: 1164.35W
Gen 26 (ES) | Pop: 128 | Sigma: 0.211 | Time: 48.94s | Cur: 1175.65W (S:24.19%) | Std: 25.92 | Best: 1164.35W
Gen 27 (ES) | Pop: 128 | Sigma: 0.215 | Time: 50.58s | Cur: 1181.30W (S:24.30%) | Std: 26.82 | Best: 1164.35W
Gen 28 (ES) | Pop: 128 | Sigma: 0.219 | Time: 49.35s | Cur: 1175.65W (S:24.19%) | Std: 27.77 | Best: 1164.35W
Gen 29 (ES) | Pop: 128 | Sigma: 0.224 | Time: 49.06s | Cur: 1181.30W (S:24.30%) | Std: 23.80 | Best: 1164.35W
Gen 30 (ES) | Pop: 128 | Sigma: 0.228 | Time: 49.54s | Cur: 1181.30W (S:24.30%) | Std: 24.18 | Best: 1164.35W
Gen 31 (ES) | Pop: 128 | Sigma: 0.233 | Time: 48.82s | Cur: 1164.35W (S:23.95%) | Std: 27.35 | Best: 1164.35W
Gen 32 (ES) | Pop: 128 | Sigma: 0.237 | Time: 50.49s | Cur: 1147.39W (S:23.60%) | Std: 33.53 | Best: 1147.39W
Gen 33 (ES) | Pop: 128 | Sigma: 0.234 | Time: 49.12s | Cur: 1181.30W (S:24.30%) | Std: 24.52 | Best: 1147.39W
Gen 34 (ES) | Pop: 128 | Sigma: 0.239 | Time: 49.66s | Cur: 1175.65W (S:24.19%) | Std: 22.81 | Best: 1147.39W
Gen 35 (ES) | Pop: 128 | Sigma: 0.243 | Time: 49.25s | Cur: 1186.96W (S:24.42%) | Std: 22.66 | Best: 1147.39W
Gen 36 (ES) | Pop: 128 | Sigma: 0.248 | Time: 49.43s | Cur: 1181.30W (S:24.30%) | Std: 27.02 | Best: 1147.39W
Gen 37 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.26s | Cur: 1153.04W (S:23.72%) | Std: 28.64 | Best: 1147.39W
Gen 38 (ES) | Pop: 128 | Sigma: 0.250 | Time: 49.83s | Cur: 1147.39W (S:23.60%) | Std: 31.57 | Best: 1147.39W
Gen 39 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.48s | Cur: 1158.70W (S:23.84%) | Std: 29.59 | Best: 1147.39W
Gen 40 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.21s | Cur: 1158.70W (S:23.84%) | Std: 28.28 | Best: 1147.39W
Gen 41 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.70s | Cur: 1158.70W (S:23.84%) | Std: 25.43 | Best: 1147.39W
Gen 42 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.66s | Cur: 1153.04W (S:23.72%) | Std: 30.20 | Best: 1147.39W
Gen 43 (ES) | Pop: 128 | Sigma: 0.250 | Time: 49.71s | Cur: 1141.74W (S:23.49%) | Std: 31.82 | Best: 1141.74W
Gen 44 (ES) | Pop: 128 | Sigma: 0.247 | Time: 53.25s | Cur: 1141.74W (S:23.49%) | Std: 28.99 | Best: 1141.74W
Gen 45 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.06s | Cur: 1141.74W (S:23.49%) | Std: 31.38 | Best: 1141.74W
Gen 46 (ES) | Pop: 128 | Sigma: 0.250 | Time: 50.22s | Cur: 1153.04W (S:23.72%) | Std: 29.62 | Best: 1141.74W
Gen 47 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.49s | Cur: 1136.09W (S:23.37%) | Std: 28.18 | Best: 1136.09W
Gen 48 (ES) | Pop: 128 | Sigma: 0.247 | Time: 49.45s | Cur: 1119.13W (S:23.02%) | Std: 29.28 | Best: 1119.13W
Gen 49 (ES) | Pop: 128 | Sigma: 0.244 | Time: 46.97s | Cur: 1141.74W (S:23.49%) | Std: 29.42 | Best: 1119.13W
