--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 1.42s | Cur: 794.18W (S:11.67%) | Std: 58.21 | Best: 794.18W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 1.63s | Cur: 765.82W (S:11.25%) | Std: 64.94 | Best: 765.82W
Gen 2 (ES) | Pop: 128 | Sigma: 0.145 | Time: 0.79s | Cur: 794.18W (S:11.67%) | Std: 69.35 | Best: 765.82W
Gen 3 (ES) | Pop: 128 | Sigma: 0.148 | Time: 0.83s | Cur: 794.18W (S:11.67%) | Std: 63.74 | Best: 765.82W
Gen 4 (ES) | Pop: 128 | Sigma: 0.150 | Time: 0.78s | Cur: 765.82W (S:11.25%) | Std: 70.75 | Best: 765.82W
Gen 5 (ES) | Pop: 128 | Sigma: 0.153 | Time: 0.77s | Cur: 765.82W (S:11.25%) | Std: 64.25 | Best: 765.82W
Gen 6 (ES) | Pop: 128 | Sigma: 0.157 | Time: 0.79s | Cur: 765.82W (S:11.25%) | Std: 73.09 | Best: 765.82W
Gen 7 (ES) | Pop: 128 | Sigma: 0.160 | Time: 0.83s | Cur: 765.82W (S:11.25%) | Std: 72.31 | Best: 765.82W
Gen 8 (ES) | Pop: 128 | Sigma: 0.163 | Time: 0.80s | Cur: 765.82W (S:11.25%) | Std: 69.87 | Best: 765.82W
Gen 9 (ES) | Pop: 128 | Sigma: 0.166 | Time: 0.78s | Cur: 765.82W (S:11.25%) | Std: 73.91 | Best: 765.82W
Gen 10 (ES) | Pop: 128 | Sigma: 0.169 | Time: 1.17s | Cur: 765.82W (S:11.25%) | Std: 72.34 | Best: 765.82W
Gen 11 (ES) | Pop: 128 | Sigma: 0.173 | Time: 1.12s | Cur: 765.82W (S:11.25%) | Std: 74.81 | Best: 765.82W
Gen 12 (ES) | Pop: 128 | Sigma: 0.176 | Time: 0.77s | Cur: 765.82W (S:11.25%) | Std: 66.48 | Best: 765.82W
Gen 13 (ES) | Pop: 128 | Sigma: 0.180 | Time: 0.78s | Cur: 765.82W (S:11.25%) | Std: 55.33 | Best: 765.82W
Gen 14 (ES) | Pop: 128 | Sigma: 0.183 | Time: 0.82s | Cur: 765.82W (S:11.25%) | Std: 60.22 | Best: 765.82W
Gen 15 (ES) | Pop: 128 | Sigma: 0.187 | Time: 0.80s | Cur: 765.82W (S:11.25%) | Std: 55.91 | Best: 765.82W
Gen 16 (ES) | Pop: 128 | Sigma: 0.191 | Time: 0.79s | Cur: 765.82W (S:11.25%) | Std: 60.57 | Best: 765.82W
Gen 17 (ES) | Pop: 128 | Sigma: 0.195 | Time: 0.77s | Cur: 737.45W (S:10.83%) | Std: 53.86 | Best: 737.45W
Gen 18 (ES) | Pop: 128 | Sigma: 0.187 | Time: 0.77s | Cur: 765.82W (S:11.25%) | Std: 53.17 | Best: 737.45W
Gen 19 (ES) | Pop: 128 | Sigma: 0.191 | Time: 0.82s | Cur: 765.82W (S:11.25%) | Std: 56.00 | Best: 737.45W
Gen 20 (ES) | Pop: 128 | Sigma: 0.195 | Time: 1.70s | Cur: 737.45W (S:10.83%) | Std: 48.29 | Best: 737.45W
Gen 21 (ES) | Pop: 128 | Sigma: 0.199 | Time: 0.77s | Cur: 765.82W (S:11.25%) | Std: 45.31 | Best: 737.45W
Gen 22 (ES) | Pop: 128 | Sigma: 0.203 | Time: 0.76s | Cur: 765.82W (S:11.25%) | Std: 43.23 | Best: 737.45W
Gen 23 (ES) | Pop: 128 | Sigma: 0.207 | Time: 0.77s | Cur: 765.82W (S:11.25%) | Std: 43.71 | Best: 737.45W
Gen 24 (ES) | Pop: 128 | Sigma: 0.211 | Time: 1.00s | Cur: 765.82W (S:11.25%) | Std: 45.92 | Best: 737.45W
Gen 25 (ES) | Pop: 128 | Sigma: 0.215 | Time: 0.78s | Cur: 737.45W (S:10.83%) | Std: 51.38 | Best: 737.45W
Gen 26 (ES) | Pop: 128 | Sigma: 0.220 | Time: 0.80s | Cur: 765.82W (S:11.25%) | Std: 44.70 | Best: 737.45W
Gen 27 (ES) | Pop: 128 | Sigma: 0.224 | Time: 0.81s | Cur: 765.82W (S:11.25%) | Std: 40.70 | Best: 737.45W
Gen 28 (ES) | Pop: 128 | Sigma: 0.229 | Time: 0.76s | Cur: 737.45W (S:10.83%) | Std: 44.57 | Best: 737.45W
Gen 29 (ES) | Pop: 128 | Sigma: 0.233 | Time: 1.49s | Cur: 765.82W (S:11.25%) | Std: 31.10 | Best: 737.45W
Gen 30 (ES) | Pop: 128 | Sigma: 0.238 | Time: 0.90s | Cur: 765.82W (S:11.25%) | Std: 40.20 | Best: 737.45W
Gen 31 (ES) | Pop: 128 | Sigma: 0.242 | Time: 0.76s | Cur: 737.45W (S:10.83%) | Std: 52.10 | Best: 737.45W
Gen 32 (ES) | Pop: 128 | Sigma: 0.247 | Time: 0.83s | Cur: 737.45W (S:10.83%) | Std: 37.27 | Best: 737.45W
Gen 33 (ES) | Pop: 128 | Sigma: 0.250 | Time: 0.83s | Cur: 765.82W (S:11.25%) | Std: 41.77 | Best: 737.45W
