--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 6.67s | Cur: 1219.64W (S:41.25%) | Std: 16835.07 | Best: 1219.64W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 6.95s | Cur: 1077.82W (S:25.42%) | Std: 23971.64 | Best: 1077.82W
Gen 2 (ES) | Pop: 128 | Sigma: 0.133 | Time: 6.55s | Cur: 1106.18W (S:31.25%) | Std: 12739.61 | Best: 1077.82W
Gen 3 (ES) | Pop: 128 | Sigma: 0.135 | Time: 6.83s | Cur: 1077.82W (S:31.25%) | Std: 28644.81 | Best: 1077.82W
Gen 4 (ES) | Pop: 128 | Sigma: 0.138 | Time: 6.59s | Cur: 1134.55W (S:30.42%) | Std: 8963.13 | Best: 1077.82W
Gen 5 (ES) | Pop: 128 | Sigma: 0.141 | Time: 6.81s | Cur: 992.73W (S:17.92%) | Std: 10177.75 | Best: 992.73W
Gen 6 (ES) | Pop: 128 | Sigma: 0.130 | Time: 6.86s | Cur: 1021.09W (S:19.58%) | Std: 5898.23 | Best: 992.73W
Gen 7 (ES) | Pop: 128 | Sigma: 0.132 | Time: 7.13s | Cur: 1049.45W (S:24.17%) | Std: 7450.76 | Best: 992.73W
Gen 8 (ES) | Pop: 128 | Sigma: 0.135 | Time: 7.01s | Cur: 1021.09W (S:25.83%) | Std: 7791.61 | Best: 992.73W
Gen 9 (ES) | Pop: 128 | Sigma: 0.137 | Time: 7.11s | Cur: 1021.09W (S:25.00%) | Std: 8202.93 | Best: 992.73W
Gen 10 (ES) | Pop: 128 | Sigma: 0.140 | Time: 7.16s | Cur: 992.73W (S:25.00%) | Std: 4565.76 | Best: 992.73W
Gen 11 (ES) | Pop: 128 | Sigma: 0.143 | Time: 7.08s | Cur: 936.00W (S:21.25%) | Std: 6639.63 | Best: 936.00W
Gen 12 (ES) | Pop: 128 | Sigma: 0.135 | Time: 7.29s | Cur: 907.64W (S:19.58%) | Std: 3388.15 | Best: 907.64W
Gen 13 (ES) | Pop: 128 | Sigma: 0.131 | Time: 7.34s | Cur: 879.27W (S:19.17%) | Std: 1977.55 | Best: 879.27W
Gen 14 (ES) | Pop: 128 | Sigma: 0.127 | Time: 7.40s | Cur: 879.27W (S:17.92%) | Std: 3390.85 | Best: 879.27W
Gen 15 (ES) | Pop: 128 | Sigma: 0.125 | Time: 7.42s | Cur: 850.91W (S:20.83%) | Std: 2499.81 | Best: 850.91W
Gen 16 (ES) | Pop: 128 | Sigma: 0.121 | Time: 7.42s | Cur: 850.91W (S:15.42%) | Std: 99.28 | Best: 850.91W
Gen 17 (ES) | Pop: 128 | Sigma: 0.120 | Time: 7.18s | Cur: 794.18W (S:15.42%) | Std: 90.24 | Best: 794.18W
