--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 1.44s | Cur: 1389.82W (S:20.42%) | Std: 56.13 | Best: 1389.82W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 0.74s | Cur: 1361.45W (S:20.00%) | Std: 52.35 | Best: 1361.45W
Gen 2 (ES) | Pop: 128 | Sigma: 0.147 | Time: 0.77s | Cur: 1361.45W (S:20.00%) | Std: 53.04 | Best: 1361.45W
Gen 3 (ES) | Pop: 128 | Sigma: 0.150 | Time: 0.77s | Cur: 1389.82W (S:20.42%) | Std: 50.99 | Best: 1361.45W
Gen 4 (ES) | Pop: 128 | Sigma: 0.153 | Time: 0.85s | Cur: 1361.45W (S:20.00%) | Std: 54.41 | Best: 1361.45W
Gen 5 (ES) | Pop: 128 | Sigma: 0.156 | Time: 2.10s | Cur: 1389.82W (S:20.42%) | Std: 51.06 | Best: 1361.45W
Gen 6 (ES) | Pop: 128 | Sigma: 0.159 | Time: 0.82s | Cur: 1389.82W (S:20.42%) | Std: 47.93 | Best: 1361.45W
Gen 7 (ES) | Pop: 128 | Sigma: 0.162 | Time: 0.71s | Cur: 1389.82W (S:20.42%) | Std: 49.59 | Best: 1361.45W
Gen 8 (ES) | Pop: 128 | Sigma: 0.165 | Time: 0.78s | Cur: 1361.45W (S:20.00%) | Std: 47.43 | Best: 1361.45W
Gen 9 (ES) | Pop: 128 | Sigma: 0.169 | Time: 0.84s | Cur: 1389.82W (S:20.42%) | Std: 42.07 | Best: 1361.45W
Gen 10 (ES) | Pop: 128 | Sigma: 0.172 | Time: 0.70s | Cur: 1361.45W (S:20.00%) | Std: 45.44 | Best: 1361.45W
Gen 11 (ES) | Pop: 128 | Sigma: 0.176 | Time: 0.77s | Cur: 1361.45W (S:20.00%) | Std: 56.23 | Best: 1361.45W
Gen 12 (ES) | Pop: 128 | Sigma: 0.179 | Time: 0.92s | Cur: 1361.45W (S:20.00%) | Std: 52.28 | Best: 1361.45W
Gen 13 (ES) | Pop: 128 | Sigma: 0.183 | Time: 0.91s | Cur: 1361.45W (S:20.00%) | Std: 45.24 | Best: 1361.45W
Gen 14 (ES) | Pop: 128 | Sigma: 0.186 | Time: 1.75s | Cur: 1389.82W (S:20.42%) | Std: 47.81 | Best: 1361.45W
