--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 7.88s | Cur: 11786.91W (S:39.17%) | Std: 8369.74 | Best: 11786.91W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 7.77s | Cur: 11815.27W (S:45.42%) | Std: 9307.38 | Best: 11786.91W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 7.48s | Cur: 11701.82W (S:41.25%) | Std: 7734.62 | Best: 11701.82W
Gen 3 (ES) | Pop: 128 | Sigma: 0.151 | Time: 8.21s | Cur: 11531.64W (S:34.58%) | Std: 7945.28 | Best: 11531.64W
Gen 4 (ES) | Pop: 128 | Sigma: 0.149 | Time: 7.90s | Cur: 11645.09W (S:33.33%) | Std: 7554.11 | Best: 11531.64W
Gen 5 (ES) | Pop: 128 | Sigma: 0.152 | Time: 7.56s | Cur: 11673.45W (S:37.92%) | Std: 8155.23 | Best: 11531.64W
Gen 6 (ES) | Pop: 128 | Sigma: 0.155 | Time: 7.44s | Cur: 11560.00W (S:34.17%) | Std: 8668.91 | Best: 11531.64W
Gen 7 (ES) | Pop: 128 | Sigma: 0.158 | Time: 7.83s | Cur: 11758.55W (S:40.42%) | Std: 7839.35 | Best: 11531.64W
Gen 8 (ES) | Pop: 128 | Sigma: 0.162 | Time: 7.83s | Cur: 11616.73W (S:36.25%) | Std: 8417.58 | Best: 11531.64W
Gen 9 (ES) | Pop: 128 | Sigma: 0.165 | Time: 7.57s | Cur: 11446.55W (S:31.25%) | Std: 8824.70 | Best: 11446.55W
Gen 10 (ES) | Pop: 128 | Sigma: 0.163 | Time: 7.58s | Cur: 11560.00W (S:33.33%) | Std: 8261.29 | Best: 11446.55W
Gen 11 (ES) | Pop: 128 | Sigma: 0.166 | Time: 7.73s | Cur: 1645.09W (S:34.58%) | Std: 9209.62 | Best: 1645.09W
Gen 12 (ES) | Pop: 128 | Sigma: 0.100 | Time: 7.57s | Cur: 11531.64W (S:35.00%) | Std: 8501.04 | Best: 1645.09W
Gen 13 (ES) | Pop: 128 | Sigma: 0.102 | Time: 7.44s | Cur: 1645.09W (S:34.58%) | Std: 8087.35 | Best: 1645.09W
Gen 14 (ES) | Pop: 128 | Sigma: 0.104 | Time: 7.74s | Cur: 11418.18W (S:29.58%) | Std: 8486.41 | Best: 1645.09W
Gen 15 (ES) | Pop: 128 | Sigma: 0.106 | Time: 7.74s | Cur: 11361.45W (S:28.33%) | Std: 8454.31 | Best: 1645.09W
Gen 16 (ES) | Pop: 128 | Sigma: 0.108 | Time: 7.75s | Cur: 11446.55W (S:32.92%) | Std: 9314.31 | Best: 1645.09W
Gen 17 (ES) | Pop: 128 | Sigma: 0.110 | Time: 7.69s | Cur: 11418.18W (S:31.67%) | Std: 9978.53 | Best: 1645.09W
Gen 18 (ES) | Pop: 128 | Sigma: 0.113 | Time: 7.94s | Cur: 1531.64W (S:31.67%) | Std: 9018.26 | Best: 1531.64W
Gen 19 (ES) | Pop: 128 | Sigma: 0.105 | Time: 7.85s | Cur: 1531.64W (S:33.33%) | Std: 8141.59 | Best: 1531.64W
Gen 20 (ES) | Pop: 128 | Sigma: 0.107 | Time: 7.53s | Cur: 1531.64W (S:31.25%) | Std: 9295.72 | Best: 1531.64W
Gen 21 (ES) | Pop: 128 | Sigma: 0.106 | Time: 7.57s | Cur: 1560.00W (S:31.25%) | Std: 8825.30 | Best: 1531.64W
Gen 22 (ES) | Pop: 128 | Sigma: 0.108 | Time: 7.58s | Cur: 1531.64W (S:32.08%) | Std: 9045.85 | Best: 1531.64W
Gen 23 (ES) | Pop: 128 | Sigma: 0.110 | Time: 7.51s | Cur: 1474.91W (S:28.33%) | Std: 9332.80 | Best: 1474.91W
Gen 24 (ES) | Pop: 128 | Sigma: 0.106 | Time: 7.70s | Cur: 1446.55W (S:28.33%) | Std: 9488.57 | Best: 1446.55W
Gen 25 (ES) | Pop: 128 | Sigma: 0.104 | Time: 7.68s | Cur: 1531.64W (S:31.25%) | Std: 9396.97 | Best: 1446.55W
Gen 26 (ES) | Pop: 128 | Sigma: 0.106 | Time: 7.58s | Cur: 1503.27W (S:31.67%) | Std: 8464.04 | Best: 1446.55W
