--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 1.47s | Cur: 1323.64W (S:20.83%) | Std: 88.75 | Best: 1323.64W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 0.84s | Cur: 1328.22W (S:19.58%) | Std: 96.42 | Best: 1323.64W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 0.86s | Cur: 1361.53W (S:20.42%) | Std: 85.03 | Best: 1323.64W
Gen 3 (ES) | Pop: 128 | Sigma: 0.156 | Time: 0.86s | Cur: 1323.64W (S:20.83%) | Std: 91.70 | Best: 1323.64W
Gen 4 (ES) | Pop: 128 | Sigma: 0.159 | Time: 0.86s | Cur: 1323.64W (S:20.83%) | Std: 90.52 | Best: 1323.64W
Gen 5 (ES) | Pop: 128 | Sigma: 0.162 | Time: 1.65s | Cur: 1306.98W (S:20.42%) | Std: 95.08 | Best: 1306.98W
Gen 6 (ES) | Pop: 128 | Sigma: 0.160 | Time: 0.84s | Cur: 1306.98W (S:20.42%) | Std: 96.79 | Best: 1306.98W
Gen 7 (ES) | Pop: 128 | Sigma: 0.164 | Time: 0.84s | Cur: 1306.98W (S:20.42%) | Std: 97.41 | Best: 1306.98W
Gen 8 (ES) | Pop: 128 | Sigma: 0.167 | Time: 0.87s | Cur: 1269.09W (S:20.83%) | Std: 93.90 | Best: 1269.09W
Gen 9 (ES) | Pop: 128 | Sigma: 0.162 | Time: 0.84s | Cur: 1306.98W (S:20.42%) | Std: 91.66 | Best: 1269.09W
Gen 10 (ES) | Pop: 128 | Sigma: 0.165 | Time: 0.85s | Cur: 1306.98W (S:20.42%) | Std: 70.75 | Best: 1269.09W
Gen 11 (ES) | Pop: 128 | Sigma: 0.169 | Time: 0.85s | Cur: 1323.64W (S:20.83%) | Std: 76.58 | Best: 1269.09W
Gen 12 (ES) | Pop: 128 | Sigma: 0.172 | Time: 0.85s | Cur: 1306.98W (S:20.42%) | Std: 93.69 | Best: 1269.09W
Gen 13 (ES) | Pop: 128 | Sigma: 0.175 | Time: 0.82s | Cur: 1306.98W (S:20.42%) | Std: 66.87 | Best: 1269.09W
Gen 14 (ES) | Pop: 128 | Sigma: 0.179 | Time: 1.58s | Cur: 1269.09W (S:20.83%) | Std: 61.10 | Best: 1269.09W
