--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.00s | Cur: 731.56W (S:16.67%) | Std: 161.97 | Best: 731.56W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.09s | Cur: 639.13W (S:16.67%) | Std: 162.21 | Best: 639.13W
Gen 2 (ES) | Pop: 128 | Sigma: 0.131 | Time: 2.91s | Cur: 714.91W (S:12.92%) | Std: 142.30 | Best: 639.13W
Gen 3 (ES) | Pop: 128 | Sigma: 0.134 | Time: 2.81s | Cur: 660.36W (S:12.92%) | Std: 135.30 | Best: 639.13W
Gen 4 (ES) | Pop: 128 | Sigma: 0.136 | Time: 3.00s | Cur: 627.05W (S:8.33%) | Std: 147.53 | Best: 627.05W
Gen 5 (ES) | Pop: 128 | Sigma: 0.134 | Time: 3.06s | Cur: 631.64W (S:9.17%) | Std: 138.07 | Best: 627.05W
Gen 6 (ES) | Pop: 128 | Sigma: 0.136 | Time: 2.93s | Cur: 610.40W (S:10.42%) | Std: 114.77 | Best: 610.40W
Gen 7 (ES) | Pop: 128 | Sigma: 0.133 | Time: 3.03s | Cur: 593.75W (S:7.50%) | Std: 123.20 | Best: 593.75W
Gen 8 (ES) | Pop: 128 | Sigma: 0.129 | Time: 2.93s | Cur: 555.85W (S:9.58%) | Std: 114.73 | Best: 555.85W
Gen 9 (ES) | Pop: 128 | Sigma: 0.121 | Time: 2.87s | Cur: 560.44W (S:7.08%) | Std: 112.08 | Best: 555.85W
Gen 10 (ES) | Pop: 128 | Sigma: 0.123 | Time: 3.28s | Cur: 560.44W (S:6.67%) | Std: 111.83 | Best: 555.85W
Gen 11 (ES) | Pop: 128 | Sigma: 0.126 | Time: 2.74s | Cur: 577.09W (S:10.42%) | Std: 108.25 | Best: 555.85W
Gen 12 (ES) | Pop: 128 | Sigma: 0.128 | Time: 3.05s | Cur: 560.44W (S:7.08%) | Std: 103.38 | Best: 555.85W
Gen 13 (ES) | Pop: 128 | Sigma: 0.131 | Time: 3.12s | Cur: 577.09W (S:6.67%) | Std: 112.88 | Best: 555.85W
Gen 14 (ES) | Pop: 128 | Sigma: 0.134 | Time: 3.17s | Cur: 577.09W (S:7.50%) | Std: 93.00 | Best: 555.85W
Gen 15 (ES) | Pop: 128 | Sigma: 0.136 | Time: 3.23s | Cur: 543.78W (S:7.50%) | Std: 96.51 | Best: 543.78W
Gen 16 (ES) | Pop: 128 | Sigma: 0.133 | Time: 2.98s | Cur: 560.44W (S:6.67%) | Std: 79.07 | Best: 543.78W
Gen 17 (ES) | Pop: 128 | Sigma: 0.136 | Time: 2.93s | Cur: 555.85W (S:14.17%) | Std: 83.70 | Best: 543.78W
