--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 2.12s | Cur: 643.71W (S:7.92%) | Std: 115.03 | Best: 643.71W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 0.81s | Cur: 677.02W (S:8.75%) | Std: 119.15 | Best: 643.71W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 1.68s | Cur: 643.71W (S:7.92%) | Std: 111.21 | Best: 643.71W
Gen 3 (ES) | Pop: 128 | Sigma: 0.156 | Time: 0.81s | Cur: 664.95W (S:7.08%) | Std: 114.36 | Best: 643.71W
Gen 4 (ES) | Pop: 128 | Sigma: 0.159 | Time: 0.83s | Cur: 664.95W (S:7.08%) | Std: 114.90 | Best: 643.71W
Gen 5 (ES) | Pop: 128 | Sigma: 0.162 | Time: 0.83s | Cur: 660.36W (S:8.33%) | Std: 122.52 | Best: 643.71W
Gen 6 (ES) | Pop: 128 | Sigma: 0.166 | Time: 0.83s | Cur: 677.02W (S:8.75%) | Std: 110.21 | Best: 643.71W
Gen 7 (ES) | Pop: 128 | Sigma: 0.169 | Time: 0.84s | Cur: 643.71W (S:7.92%) | Std: 125.05 | Best: 643.71W
Gen 8 (ES) | Pop: 128 | Sigma: 0.172 | Time: 0.84s | Cur: 660.36W (S:8.33%) | Std: 120.13 | Best: 643.71W
Gen 9 (ES) | Pop: 128 | Sigma: 0.176 | Time: 0.82s | Cur: 660.36W (S:8.33%) | Std: 121.37 | Best: 643.71W
Gen 10 (ES) | Pop: 128 | Sigma: 0.179 | Time: 0.81s | Cur: 660.36W (S:8.33%) | Std: 113.51 | Best: 643.71W
Gen 11 (ES) | Pop: 128 | Sigma: 0.183 | Time: 1.28s | Cur: 627.05W (S:7.50%) | Std: 110.44 | Best: 627.05W
Gen 12 (ES) | Pop: 128 | Sigma: 0.178 | Time: 1.35s | Cur: 627.05W (S:7.50%) | Std: 111.29 | Best: 627.05W
Gen 13 (ES) | Pop: 128 | Sigma: 0.182 | Time: 0.80s | Cur: 627.05W (S:7.50%) | Std: 115.58 | Best: 627.05W
Gen 14 (ES) | Pop: 128 | Sigma: 0.185 | Time: 0.81s | Cur: 643.71W (S:7.92%) | Std: 112.92 | Best: 627.05W
Gen 15 (ES) | Pop: 128 | Sigma: 0.189 | Time: 0.86s | Cur: 643.71W (S:7.92%) | Std: 108.90 | Best: 627.05W
Gen 16 (ES) | Pop: 128 | Sigma: 0.193 | Time: 0.79s | Cur: 643.71W (S:7.92%) | Std: 107.34 | Best: 627.05W
Gen 17 (ES) | Pop: 128 | Sigma: 0.197 | Time: 0.84s | Cur: 627.05W (S:7.50%) | Std: 117.72 | Best: 627.05W
