--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.41s | Cur: 902.69W (S:26.67%) | Std: 21741.29 | Best: 902.69W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.20s | Cur: 869.38W (S:24.58%) | Std: 11810.83 | Best: 869.38W
Gen 2 (ES) | Pop: 128 | Sigma: 0.144 | Time: 3.16s | Cur: 969.31W (S:27.08%) | Std: 18299.82 | Best: 869.38W
Gen 3 (ES) | Pop: 128 | Sigma: 0.147 | Time: 3.13s | Cur: 864.80W (S:25.42%) | Std: 20257.39 | Best: 864.80W
Gen 4 (ES) | Pop: 128 | Sigma: 0.146 | Time: 3.20s | Cur: 869.38W (S:20.83%) | Std: 19582.64 | Best: 864.80W
Gen 5 (ES) | Pop: 128 | Sigma: 0.149 | Time: 3.10s | Cur: 743.64W (S:22.08%) | Std: 170.80 | Best: 743.64W
Gen 6 (ES) | Pop: 128 | Sigma: 0.128 | Time: 2.90s | Cur: 848.15W (S:17.08%) | Std: 5309.86 | Best: 743.64W
Gen 7 (ES) | Pop: 128 | Sigma: 0.131 | Time: 2.81s | Cur: 814.84W (S:24.17%) | Std: 150.18 | Best: 743.64W
Gen 8 (ES) | Pop: 128 | Sigma: 0.133 | Time: 3.46s | Cur: 764.87W (S:12.92%) | Std: 156.69 | Best: 743.64W
Gen 9 (ES) | Pop: 128 | Sigma: 0.136 | Time: 2.93s | Cur: 710.33W (S:12.08%) | Std: 139.72 | Best: 710.33W
Gen 10 (ES) | Pop: 128 | Sigma: 0.130 | Time: 2.95s | Cur: 643.71W (S:12.08%) | Std: 130.62 | Best: 643.71W
Gen 11 (ES) | Pop: 128 | Sigma: 0.118 | Time: 2.85s | Cur: 672.44W (S:17.50%) | Std: 120.85 | Best: 643.71W
Gen 12 (ES) | Pop: 128 | Sigma: 0.120 | Time: 3.14s | Cur: 693.67W (S:15.00%) | Std: 99.00 | Best: 643.71W
Gen 13 (ES) | Pop: 128 | Sigma: 0.122 | Time: 3.36s | Cur: 572.51W (S:10.83%) | Std: 96.65 | Best: 572.51W
Gen 14 (ES) | Pop: 128 | Sigma: 0.109 | Time: 3.00s | Cur: 643.71W (S:9.58%) | Std: 87.09 | Best: 572.51W
Gen 15 (ES) | Pop: 128 | Sigma: 0.111 | Time: 2.98s | Cur: 610.40W (S:10.42%) | Std: 101.86 | Best: 572.51W
Gen 16 (ES) | Pop: 128 | Sigma: 0.113 | Time: 3.01s | Cur: 610.40W (S:9.58%) | Std: 89.13 | Best: 572.51W
Gen 17 (ES) | Pop: 128 | Sigma: 0.115 | Time: 3.32s | Cur: 610.40W (S:8.75%) | Std: 95.54 | Best: 572.51W
Gen 18 (ES) | Pop: 128 | Sigma: 0.118 | Time: 3.31s | Cur: 610.40W (S:10.42%) | Std: 96.99 | Best: 572.51W
Gen 19 (ES) | Pop: 128 | Sigma: 0.120 | Time: 3.16s | Cur: 610.40W (S:8.75%) | Std: 93.46 | Best: 572.51W
Gen 20 (ES) | Pop: 128 | Sigma: 0.122 | Time: 3.17s | Cur: 627.05W (S:9.58%) | Std: 90.09 | Best: 572.51W
Gen 21 (ES) | Pop: 128 | Sigma: 0.125 | Time: 3.17s | Cur: 610.40W (S:10.42%) | Std: 85.74 | Best: 572.51W
Gen 22 (ES) | Pop: 128 | Sigma: 0.127 | Time: 2.96s | Cur: 627.05W (S:10.42%) | Std: 99.54 | Best: 572.51W
Gen 23 (ES) | Pop: 128 | Sigma: 0.130 | Time: 3.14s | Cur: 555.85W (S:10.83%) | Std: 89.47 | Best: 555.85W
Gen 24 (ES) | Pop: 128 | Sigma: 0.126 | Time: 2.94s | Cur: 593.75W (S:7.92%) | Std: 90.89 | Best: 555.85W
Gen 25 (ES) | Pop: 128 | Sigma: 0.129 | Time: 2.92s | Cur: 605.82W (S:13.75%) | Std: 85.45 | Best: 555.85W
Gen 26 (ES) | Pop: 128 | Sigma: 0.131 | Time: 2.91s | Cur: 555.85W (S:10.83%) | Std: 83.02 | Best: 555.85W
