--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 8.66s | Cur: 122.85W (S:7.08%) | Std: 19.75 | Best: 122.85W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 6.04s | Cur: 122.85W (S:7.08%) | Std: 19.29 | Best: 122.85W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 5.84s | Cur: 122.85W (S:7.08%) | Std: 20.13 | Best: 122.85W
Gen 3 (ES) | Pop: 128 | Sigma: 0.156 | Time: 5.85s | Cur: 130.07W (S:7.50%) | Std: 19.78 | Best: 122.85W
Gen 4 (ES) | Pop: 128 | Sigma: 0.159 | Time: 7.22s | Cur: 122.85W (S:7.08%) | Std: 20.87 | Best: 122.85W
Gen 5 (ES) | Pop: 128 | Sigma: 0.162 | Time: 6.07s | Cur: 122.85W (S:7.08%) | Std: 19.69 | Best: 122.85W
Gen 6 (ES) | Pop: 128 | Sigma: 0.166 | Time: 6.24s | Cur: 122.85W (S:7.08%) | Std: 20.04 | Best: 122.85W
Gen 7 (ES) | Pop: 128 | Sigma: 0.169 | Time: 9.05s | Cur: 122.85W (S:7.08%) | Std: 18.86 | Best: 122.85W
Gen 8 (ES) | Pop: 128 | Sigma: 0.172 | Time: 5.85s | Cur: 115.62W (S:6.67%) | Std: 19.18 | Best: 115.62W
Gen 9 (ES) | Pop: 128 | Sigma: 0.162 | Time: 5.91s | Cur: 122.85W (S:7.08%) | Std: 19.61 | Best: 115.62W
Gen 10 (ES) | Pop: 128 | Sigma: 0.165 | Time: 6.23s | Cur: 115.62W (S:6.67%) | Std: 20.08 | Best: 115.62W
Gen 11 (ES) | Pop: 128 | Sigma: 0.169 | Time: 7.30s | Cur: 101.17W (S:5.83%) | Std: 20.72 | Best: 101.17W
Gen 12 (ES) | Pop: 128 | Sigma: 0.148 | Time: 6.20s | Cur: 115.62W (S:6.67%) | Std: 15.84 | Best: 101.17W
Gen 13 (ES) | Pop: 128 | Sigma: 0.151 | Time: 6.45s | Cur: 108.40W (S:6.25%) | Std: 15.31 | Best: 101.17W
Gen 14 (ES) | Pop: 128 | Sigma: 0.154 | Time: 8.88s | Cur: 108.40W (S:6.25%) | Std: 16.56 | Best: 101.17W
Gen 15 (ES) | Pop: 128 | Sigma: 0.157 | Time: 7.94s | Cur: 108.40W (S:6.25%) | Std: 15.42 | Best: 101.17W
Gen 16 (ES) | Pop: 128 | Sigma: 0.160 | Time: 9.01s | Cur: 108.40W (S:6.25%) | Std: 14.11 | Best: 101.17W
Gen 17 (ES) | Pop: 128 | Sigma: 0.163 | Time: 8.14s | Cur: 108.40W (S:6.25%) | Std: 14.22 | Best: 101.17W
Gen 18 (ES) | Pop: 128 | Sigma: 0.166 | Time: 6.62s | Cur: 108.40W (S:6.25%) | Std: 12.91 | Best: 101.17W
Gen 19 (ES) | Pop: 128 | Sigma: 0.170 | Time: 6.88s | Cur: 101.17W (S:5.83%) | Std: 12.59 | Best: 101.17W
Gen 20 (ES) | Pop: 128 | Sigma: 0.173 | Time: 7.61s | Cur: 108.40W (S:6.25%) | Std: 14.94 | Best: 101.17W
Gen 21 (ES) | Pop: 128 | Sigma: 0.176 | Time: 7.86s | Cur: 101.17W (S:5.83%) | Std: 13.64 | Best: 101.17W
Gen 22 (ES) | Pop: 128 | Sigma: 0.180 | Time: 6.77s | Cur: 101.17W (S:5.83%) | Std: 13.97 | Best: 101.17W
Gen 23 (ES) | Pop: 128 | Sigma: 0.184 | Time: 7.02s | Cur: 101.17W (S:5.83%) | Std: 13.17 | Best: 101.17W
Gen 24 (ES) | Pop: 128 | Sigma: 0.187 | Time: 6.59s | Cur: 101.17W (S:5.83%) | Std: 15.98 | Best: 101.17W
Gen 25 (ES) | Pop: 128 | Sigma: 0.191 | Time: 10.37s | Cur: 101.17W (S:5.83%) | Std: 14.13 | Best: 101.17W
Gen 26 (ES) | Pop: 128 | Sigma: 0.195 | Time: 8.17s | Cur: 101.17W (S:5.83%) | Std: 15.40 | Best: 101.17W
Gen 27 (ES) | Pop: 128 | Sigma: 0.199 | Time: 8.42s | Cur: 101.17W (S:5.83%) | Std: 14.11 | Best: 101.17W
Gen 28 (ES) | Pop: 128 | Sigma: 0.203 | Time: 7.24s | Cur: 101.17W (S:5.83%) | Std: 14.51 | Best: 101.17W
Gen 29 (ES) | Pop: 128 | Sigma: 0.207 | Time: 8.31s | Cur: 101.17W (S:5.83%) | Std: 14.21 | Best: 101.17W
Gen 30 (ES) | Pop: 128 | Sigma: 0.211 | Time: 8.21s | Cur: 101.17W (S:5.83%) | Std: 16.12 | Best: 101.17W
Gen 31 (ES) | Pop: 128 | Sigma: 0.215 | Time: 7.56s | Cur: 101.17W (S:5.83%) | Std: 16.20 | Best: 101.17W
Gen 32 (ES) | Pop: 128 | Sigma: 0.219 | Time: 8.62s | Cur: 101.17W (S:5.83%) | Std: 14.49 | Best: 101.17W
Gen 33 (ES) | Pop: 128 | Sigma: 0.224 | Time: 7.70s | Cur: 101.17W (S:5.83%) | Std: 15.38 | Best: 101.17W
Gen 34 (ES) | Pop: 128 | Sigma: 0.228 | Time: 9.35s | Cur: 101.17W (S:5.83%) | Std: 13.52 | Best: 101.17W
Gen 35 (ES) | Pop: 128 | Sigma: 0.233 | Time: 8.26s | Cur: 101.17W (S:5.83%) | Std: 16.60 | Best: 101.17W
Gen 36 (ES) | Pop: 128 | Sigma: 0.237 | Time: 7.99s | Cur: 101.17W (S:5.83%) | Std: 14.75 | Best: 101.17W
Gen 37 (ES) | Pop: 128 | Sigma: 0.242 | Time: 6.46s | Cur: 101.17W (S:5.83%) | Std: 16.32 | Best: 101.17W
Gen 38 (ES) | Pop: 128 | Sigma: 0.247 | Time: 7.59s | Cur: 101.17W (S:5.83%) | Std: 17.58 | Best: 101.17W
Gen 39 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.55s | Cur: 101.17W (S:5.83%) | Std: 16.64 | Best: 101.17W
Gen 40 (ES) | Pop: 128 | Sigma: 0.250 | Time: 8.68s | Cur: 101.17W (S:5.83%) | Std: 16.06 | Best: 101.17W
Gen 41 (ES) | Pop: 128 | Sigma: 0.250 | Time: 8.17s | Cur: 101.17W (S:5.83%) | Std: 13.99 | Best: 101.17W
Gen 42 (ES) | Pop: 128 | Sigma: 0.250 | Time: 8.48s | Cur: 101.17W (S:5.83%) | Std: 15.29 | Best: 101.17W
Gen 43 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.18s | Cur: 101.17W (S:5.83%) | Std: 15.05 | Best: 101.17W
Gen 44 (ES) | Pop: 128 | Sigma: 0.250 | Time: 11.01s | Cur: 101.17W (S:5.83%) | Std: 13.76 | Best: 101.17W
Gen 45 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.14s | Cur: 101.17W (S:5.83%) | Std: 12.19 | Best: 101.17W
Gen 46 (ES) | Pop: 128 | Sigma: 0.250 | Time: 8.17s | Cur: 101.17W (S:5.83%) | Std: 13.28 | Best: 101.17W
Gen 47 (ES) | Pop: 128 | Sigma: 0.250 | Time: 8.12s | Cur: 101.17W (S:5.83%) | Std: 13.92 | Best: 101.17W
Gen 48 (ES) | Pop: 128 | Sigma: 0.150 | Time: 7.29s | Cur: 101.17W (S:5.83%) | Std: 23.61 | Best: 101.17W
Gen 49 (ES) | Pop: 128 | Sigma: 0.153 | Time: 7.23s | Cur: 101.17W (S:5.83%) | Std: 21.23 | Best: 101.17W
