--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 33.46s | Cur: 238.47W (S:27.92%) | Std: 6902.74 | Best: 238.47W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 31.90s | Cur: 216.79W (S:18.33%) | Std: 15923.45 | Best: 216.79W
Gen 2 (ES) | Pop: 128 | Sigma: 0.136 | Time: 33.07s | Cur: 158.98W (S:18.75%) | Std: 24771.34 | Best: 158.98W
Gen 3 (ES) | Pop: 128 | Sigma: 0.100 | Time: 34.44s | Cur: 173.43W (S:22.50%) | Std: 51.09 | Best: 158.98W
Gen 4 (ES) | Pop: 128 | Sigma: 0.102 | Time: 34.91s | Cur: 151.75W (S:13.75%) | Std: 1969.18 | Best: 151.75W
Gen 5 (ES) | Pop: 128 | Sigma: 0.100 | Time: 33.15s | Cur: 122.85W (S:8.75%) | Std: 47.32 | Best: 122.85W
Gen 6 (ES) | Pop: 128 | Sigma: 0.100 | Time: 34.03s | Cur: 122.85W (S:10.83%) | Std: 36.58 | Best: 122.85W
Gen 7 (ES) | Pop: 128 | Sigma: 0.102 | Time: 34.53s | Cur: 122.85W (S:9.58%) | Std: 38.51 | Best: 122.85W
Gen 8 (ES) | Pop: 128 | Sigma: 0.104 | Time: 35.12s | Cur: 108.40W (S:7.08%) | Std: 35.03 | Best: 108.40W
Gen 9 (ES) | Pop: 128 | Sigma: 0.100 | Time: 35.71s | Cur: 108.40W (S:7.50%) | Std: 30.98 | Best: 108.40W
Gen 10 (ES) | Pop: 128 | Sigma: 0.102 | Time: 34.84s | Cur: 101.17W (S:6.25%) | Std: 34.28 | Best: 101.17W
Gen 11 (ES) | Pop: 128 | Sigma: 0.100 | Time: 37.81s | Cur: 108.40W (S:6.67%) | Std: 28.10 | Best: 101.17W
Gen 12 (ES) | Pop: 128 | Sigma: 0.102 | Time: 33.59s | Cur: 108.40W (S:6.67%) | Std: 26.61 | Best: 101.17W
Gen 13 (ES) | Pop: 128 | Sigma: 0.104 | Time: 36.95s | Cur: 108.40W (S:6.67%) | Std: 22.04 | Best: 101.17W
Gen 14 (ES) | Pop: 128 | Sigma: 0.106 | Time: 36.38s | Cur: 108.40W (S:6.67%) | Std: 16.03 | Best: 101.17W
Gen 15 (ES) | Pop: 128 | Sigma: 0.108 | Time: 36.15s | Cur: 108.40W (S:7.50%) | Std: 14.85 | Best: 101.17W
Gen 16 (ES) | Pop: 128 | Sigma: 0.110 | Time: 34.01s | Cur: 101.17W (S:5.83%) | Std: 17.91 | Best: 101.17W
Gen 17 (ES) | Pop: 128 | Sigma: 0.109 | Time: 35.99s | Cur: 108.40W (S:6.25%) | Std: 15.58 | Best: 101.17W
Gen 18 (ES) | Pop: 128 | Sigma: 0.111 | Time: 36.22s | Cur: 101.17W (S:6.25%) | Std: 13.19 | Best: 101.17W
Gen 19 (ES) | Pop: 128 | Sigma: 0.114 | Time: 34.22s | Cur: 101.17W (S:6.25%) | Std: 12.46 | Best: 101.17W
Gen 20 (ES) | Pop: 128 | Sigma: 0.116 | Time: 35.69s | Cur: 101.17W (S:6.25%) | Std: 13.23 | Best: 101.17W
Gen 21 (ES) | Pop: 128 | Sigma: 0.118 | Time: 35.51s | Cur: 101.17W (S:6.25%) | Std: 14.18 | Best: 101.17W
Gen 22 (ES) | Pop: 128 | Sigma: 0.121 | Time: 36.91s | Cur: 101.17W (S:6.25%) | Std: 12.67 | Best: 101.17W
Gen 23 (ES) | Pop: 128 | Sigma: 0.123 | Time: 37.51s | Cur: 101.17W (S:5.83%) | Std: 17.04 | Best: 101.17W
Gen 24 (ES) | Pop: 128 | Sigma: 0.126 | Time: 34.25s | Cur: 101.17W (S:5.83%) | Std: 13.18 | Best: 101.17W
Gen 25 (ES) | Pop: 128 | Sigma: 0.128 | Time: 39.54s | Cur: 101.17W (S:5.83%) | Std: 9.81 | Best: 101.17W
Gen 26 (ES) | Pop: 128 | Sigma: 0.131 | Time: 39.17s | Cur: 101.17W (S:5.83%) | Std: 11.73 | Best: 101.17W
Gen 27 (ES) | Pop: 128 | Sigma: 0.133 | Time: 35.05s | Cur: 101.17W (S:5.83%) | Std: 10.61 | Best: 101.17W
Gen 28 (ES) | Pop: 128 | Sigma: 0.136 | Time: 36.41s | Cur: 101.17W (S:5.83%) | Std: 13.08 | Best: 101.17W
Gen 29 (ES) | Pop: 128 | Sigma: 0.139 | Time: 39.46s | Cur: 101.17W (S:5.83%) | Std: 9.76 | Best: 101.17W
Gen 30 (ES) | Pop: 128 | Sigma: 0.141 | Time: 35.27s | Cur: 101.17W (S:5.83%) | Std: 10.06 | Best: 101.17W
Gen 31 (ES) | Pop: 128 | Sigma: 0.144 | Time: 34.62s | Cur: 101.17W (S:5.83%) | Std: 10.57 | Best: 101.17W
Gen 32 (ES) | Pop: 128 | Sigma: 0.147 | Time: 35.01s | Cur: 101.17W (S:5.83%) | Std: 11.57 | Best: 101.17W
Gen 33 (ES) | Pop: 128 | Sigma: 0.150 | Time: 34.99s | Cur: 101.17W (S:5.83%) | Std: 25.92 | Best: 101.17W
Gen 34 (ES) | Pop: 128 | Sigma: 0.153 | Time: 37.10s | Cur: 101.17W (S:5.83%) | Std: 22.75 | Best: 101.17W
Gen 35 (ES) | Pop: 128 | Sigma: 0.156 | Time: 36.37s | Cur: 101.17W (S:5.83%) | Std: 10.98 | Best: 101.17W
Gen 36 (ES) | Pop: 128 | Sigma: 0.159 | Time: 39.12s | Cur: 101.17W (S:5.83%) | Std: 19.24 | Best: 101.17W
Gen 37 (ES) | Pop: 128 | Sigma: 0.162 | Time: 39.35s | Cur: 101.17W (S:5.83%) | Std: 23.60 | Best: 101.17W
Gen 38 (ES) | Pop: 128 | Sigma: 0.166 | Time: 37.16s | Cur: 101.17W (S:5.83%) | Std: 22.33 | Best: 101.17W
Gen 39 (ES) | Pop: 128 | Sigma: 0.169 | Time: 35.85s | Cur: 101.17W (S:5.83%) | Std: 36.38 | Best: 101.17W
Gen 40 (ES) | Pop: 128 | Sigma: 0.172 | Time: 34.72s | Cur: 101.17W (S:5.83%) | Std: 895.82 | Best: 101.17W
Gen 41 (ES) | Pop: 128 | Sigma: 0.176 | Time: 38.27s | Cur: 101.17W (S:5.83%) | Std: 36.35 | Best: 101.17W
Gen 42 (ES) | Pop: 128 | Sigma: 0.179 | Time: 34.08s | Cur: 101.17W (S:5.83%) | Std: 37.74 | Best: 101.17W
Gen 43 (ES) | Pop: 128 | Sigma: 0.183 | Time: 36.82s | Cur: 101.17W (S:5.83%) | Std: 42.39 | Best: 101.17W
Gen 44 (ES) | Pop: 128 | Sigma: 0.187 | Time: 38.09s | Cur: 101.17W (S:5.83%) | Std: 25.98 | Best: 101.17W
Gen 45 (ES) | Pop: 128 | Sigma: 0.190 | Time: 38.13s | Cur: 101.17W (S:5.83%) | Std: 45.95 | Best: 101.17W
Gen 46 (ES) | Pop: 128 | Sigma: 0.194 | Time: 34.83s | Cur: 101.17W (S:5.83%) | Std: 33.89 | Best: 101.17W
Gen 47 (ES) | Pop: 128 | Sigma: 0.198 | Time: 36.24s | Cur: 101.17W (S:5.83%) | Std: 28.77 | Best: 101.17W
Gen 48 (ES) | Pop: 128 | Sigma: 0.202 | Time: 34.84s | Cur: 101.17W (S:5.83%) | Std: 26.55 | Best: 101.17W
Gen 49 (ES) | Pop: 128 | Sigma: 0.206 | Time: 36.23s | Cur: 101.17W (S:5.83%) | Std: 40.53 | Best: 101.17W
Gen 50 (ES) | Pop: 128 | Sigma: 0.210 | Time: 35.23s | Cur: 101.17W (S:5.83%) | Std: 29.97 | Best: 101.17W
Gen 51 (ES) | Pop: 128 | Sigma: 0.214 | Time: 35.52s | Cur: 101.17W (S:5.83%) | Std: 36.41 | Best: 101.17W
