--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 5.97s | Cur: 86.72W (S:5.00%) | Std: 21.59 | Best: 86.72W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.92s | Cur: 86.72W (S:5.00%) | Std: 21.47 | Best: 86.72W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 4.05s | Cur: 86.72W (S:5.00%) | Std: 22.30 | Best: 86.72W
Gen 3 (ES) | Pop: 128 | Sigma: 0.156 | Time: 4.20s | Cur: 86.72W (S:5.00%) | Std: 22.51 | Best: 86.72W
Gen 4 (ES) | Pop: 128 | Sigma: 0.159 | Time: 4.02s | Cur: 93.94W (S:5.42%) | Std: 21.92 | Best: 86.72W
Gen 5 (ES) | Pop: 128 | Sigma: 0.162 | Time: 4.05s | Cur: 86.72W (S:5.00%) | Std: 24.08 | Best: 86.72W
Gen 6 (ES) | Pop: 128 | Sigma: 0.166 | Time: 4.10s | Cur: 86.72W (S:5.00%) | Std: 24.90 | Best: 86.72W
Gen 7 (ES) | Pop: 128 | Sigma: 0.169 | Time: 4.07s | Cur: 86.72W (S:5.00%) | Std: 22.98 | Best: 86.72W
Gen 8 (ES) | Pop: 128 | Sigma: 0.172 | Time: 3.98s | Cur: 86.72W (S:5.00%) | Std: 24.08 | Best: 86.72W
Gen 9 (ES) | Pop: 128 | Sigma: 0.176 | Time: 4.63s | Cur: 86.72W (S:5.00%) | Std: 25.99 | Best: 86.72W
Gen 10 (ES) | Pop: 128 | Sigma: 0.179 | Time: 4.04s | Cur: 86.72W (S:5.00%) | Std: 23.30 | Best: 86.72W
Gen 11 (ES) | Pop: 128 | Sigma: 0.183 | Time: 4.13s | Cur: 86.72W (S:5.00%) | Std: 25.12 | Best: 86.72W
Gen 12 (ES) | Pop: 128 | Sigma: 0.187 | Time: 4.10s | Cur: 86.72W (S:5.00%) | Std: 21.09 | Best: 86.72W
Gen 13 (ES) | Pop: 128 | Sigma: 0.190 | Time: 4.12s | Cur: 86.72W (S:5.00%) | Std: 25.75 | Best: 86.72W
Gen 14 (ES) | Pop: 128 | Sigma: 0.194 | Time: 4.32s | Cur: 86.72W (S:5.00%) | Std: 22.72 | Best: 86.72W
Gen 15 (ES) | Pop: 128 | Sigma: 0.198 | Time: 4.42s | Cur: 72.26W (S:4.17%) | Std: 22.21 | Best: 72.26W
Gen 16 (ES) | Pop: 128 | Sigma: 0.165 | Time: 4.30s | Cur: 86.72W (S:5.00%) | Std: 16.88 | Best: 72.26W
Gen 17 (ES) | Pop: 128 | Sigma: 0.168 | Time: 4.33s | Cur: 79.49W (S:4.58%) | Std: 14.30 | Best: 72.26W
Gen 18 (ES) | Pop: 128 | Sigma: 0.172 | Time: 5.02s | Cur: 79.49W (S:4.58%) | Std: 14.54 | Best: 72.26W
Gen 19 (ES) | Pop: 128 | Sigma: 0.175 | Time: 4.55s | Cur: 72.26W (S:4.17%) | Std: 14.67 | Best: 72.26W
Gen 20 (ES) | Pop: 128 | Sigma: 0.179 | Time: 4.48s | Cur: 72.26W (S:4.17%) | Std: 13.47 | Best: 72.26W
Gen 21 (ES) | Pop: 128 | Sigma: 0.182 | Time: 4.51s | Cur: 72.26W (S:4.17%) | Std: 13.65 | Best: 72.26W
Gen 22 (ES) | Pop: 128 | Sigma: 0.186 | Time: 4.50s | Cur: 72.26W (S:4.17%) | Std: 13.49 | Best: 72.26W
Gen 23 (ES) | Pop: 128 | Sigma: 0.189 | Time: 4.55s | Cur: 72.26W (S:4.17%) | Std: 14.82 | Best: 72.26W
Gen 24 (ES) | Pop: 128 | Sigma: 0.193 | Time: 4.41s | Cur: 72.26W (S:4.17%) | Std: 12.84 | Best: 72.26W
Gen 25 (ES) | Pop: 128 | Sigma: 0.197 | Time: 4.55s | Cur: 72.26W (S:4.17%) | Std: 11.75 | Best: 72.26W
Gen 26 (ES) | Pop: 128 | Sigma: 0.201 | Time: 4.48s | Cur: 72.26W (S:4.17%) | Std: 12.33 | Best: 72.26W
Gen 27 (ES) | Pop: 128 | Sigma: 0.205 | Time: 4.78s | Cur: 72.26W (S:4.17%) | Std: 12.70 | Best: 72.26W
