--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 21.59s | Cur: 151.75W (S:8.75%) | Std: 54.30 | Best: 151.75W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 22.90s | Cur: 130.07W (S:10.00%) | Std: 56.58 | Best: 130.07W
Gen 2 (ES) | Pop: 128 | Sigma: 0.129 | Time: 22.51s | Cur: 137.30W (S:12.50%) | Std: 45.05 | Best: 130.07W
Gen 3 (ES) | Pop: 128 | Sigma: 0.131 | Time: 22.13s | Cur: 115.62W (S:10.42%) | Std: 46.25 | Best: 115.62W
Gen 4 (ES) | Pop: 128 | Sigma: 0.117 | Time: 22.71s | Cur: 108.40W (S:6.67%) | Std: 37.74 | Best: 108.40W
Gen 5 (ES) | Pop: 128 | Sigma: 0.109 | Time: 23.29s | Cur: 93.94W (S:6.67%) | Std: 29.73 | Best: 93.94W
Gen 6 (ES) | Pop: 128 | Sigma: 0.100 | Time: 23.09s | Cur: 93.94W (S:5.42%) | Std: 25.38 | Best: 93.94W
Gen 7 (ES) | Pop: 128 | Sigma: 0.100 | Time: 23.32s | Cur: 86.72W (S:5.00%) | Std: 22.92 | Best: 86.72W
Gen 8 (ES) | Pop: 128 | Sigma: 0.100 | Time: 23.42s | Cur: 79.49W (S:4.58%) | Std: 19.09 | Best: 79.49W
Gen 9 (ES) | Pop: 128 | Sigma: 0.100 | Time: 23.94s | Cur: 86.72W (S:5.00%) | Std: 19.91 | Best: 79.49W
Gen 10 (ES) | Pop: 128 | Sigma: 0.102 | Time: 23.11s | Cur: 79.49W (S:5.83%) | Std: 19.54 | Best: 79.49W
Gen 11 (ES) | Pop: 128 | Sigma: 0.104 | Time: 24.00s | Cur: 72.26W (S:5.83%) | Std: 20.37 | Best: 72.26W
Gen 12 (ES) | Pop: 128 | Sigma: 0.100 | Time: 24.50s | Cur: 79.49W (S:4.58%) | Std: 17.58 | Best: 72.26W
Gen 13 (ES) | Pop: 128 | Sigma: 0.102 | Time: 24.20s | Cur: 79.49W (S:4.58%) | Std: 16.98 | Best: 72.26W
Gen 14 (ES) | Pop: 128 | Sigma: 0.104 | Time: 24.10s | Cur: 72.26W (S:4.58%) | Std: 15.89 | Best: 72.26W
Gen 15 (ES) | Pop: 128 | Sigma: 0.103 | Time: 24.76s | Cur: 72.26W (S:4.17%) | Std: 15.23 | Best: 72.26W
Gen 16 (ES) | Pop: 128 | Sigma: 0.102 | Time: 24.79s | Cur: 72.26W (S:4.17%) | Std: 14.36 | Best: 72.26W
Gen 17 (ES) | Pop: 128 | Sigma: 0.104 | Time: 24.77s | Cur: 72.26W (S:4.17%) | Std: 13.32 | Best: 72.26W
Gen 18 (ES) | Pop: 128 | Sigma: 0.106 | Time: 24.90s | Cur: 72.26W (S:4.17%) | Std: 12.33 | Best: 72.26W
Gen 19 (ES) | Pop: 128 | Sigma: 0.108 | Time: 24.48s | Cur: 72.26W (S:4.17%) | Std: 12.04 | Best: 72.26W
Gen 20 (ES) | Pop: 128 | Sigma: 0.110 | Time: 24.95s | Cur: 72.26W (S:4.17%) | Std: 11.27 | Best: 72.26W
Gen 21 (ES) | Pop: 128 | Sigma: 0.113 | Time: 25.07s | Cur: 72.26W (S:4.17%) | Std: 15.23 | Best: 72.26W
Gen 22 (ES) | Pop: 128 | Sigma: 0.115 | Time: 24.96s | Cur: 72.26W (S:4.17%) | Std: 12.47 | Best: 72.26W
Gen 23 (ES) | Pop: 128 | Sigma: 0.117 | Time: 25.73s | Cur: 72.26W (S:4.17%) | Std: 11.25 | Best: 72.26W
Gen 24 (ES) | Pop: 128 | Sigma: 0.119 | Time: 24.96s | Cur: 72.26W (S:4.17%) | Std: 16.14 | Best: 72.26W
Gen 25 (ES) | Pop: 128 | Sigma: 0.122 | Time: 25.29s | Cur: 72.26W (S:4.17%) | Std: 11.91 | Best: 72.26W
Gen 26 (ES) | Pop: 128 | Sigma: 0.124 | Time: 25.28s | Cur: 72.26W (S:4.17%) | Std: 11.87 | Best: 72.26W
Gen 27 (ES) | Pop: 128 | Sigma: 0.127 | Time: 24.87s | Cur: 72.26W (S:4.17%) | Std: 14.30 | Best: 72.26W
Gen 28 (ES) | Pop: 128 | Sigma: 0.129 | Time: 25.19s | Cur: 72.26W (S:4.17%) | Std: 9.78 | Best: 72.26W
Gen 29 (ES) | Pop: 128 | Sigma: 0.132 | Time: 25.26s | Cur: 72.26W (S:4.17%) | Std: 9.23 | Best: 72.26W
Gen 30 (ES) | Pop: 128 | Sigma: 0.135 | Time: 25.74s | Cur: 72.26W (S:4.17%) | Std: 9.50 | Best: 72.26W
Gen 31 (ES) | Pop: 128 | Sigma: 0.137 | Time: 25.47s | Cur: 72.26W (S:4.17%) | Std: 9.93 | Best: 72.26W
Gen 32 (ES) | Pop: 128 | Sigma: 0.140 | Time: 25.41s | Cur: 72.26W (S:4.17%) | Std: 16.70 | Best: 72.26W
Gen 33 (ES) | Pop: 128 | Sigma: 0.143 | Time: 25.33s | Cur: 72.26W (S:4.17%) | Std: 11.38 | Best: 72.26W
Gen 34 (ES) | Pop: 128 | Sigma: 0.146 | Time: 25.50s | Cur: 72.26W (S:4.17%) | Std: 13.94 | Best: 72.26W
Gen 35 (ES) | Pop: 128 | Sigma: 0.149 | Time: 25.20s | Cur: 72.26W (S:4.17%) | Std: 12.53 | Best: 72.26W
Gen 36 (ES) | Pop: 128 | Sigma: 0.152 | Time: 24.87s | Cur: 72.26W (S:4.17%) | Std: 21.98 | Best: 72.26W
Gen 37 (ES) | Pop: 128 | Sigma: 0.155 | Time: 25.36s | Cur: 72.26W (S:4.17%) | Std: 19.36 | Best: 72.26W
Gen 38 (ES) | Pop: 128 | Sigma: 0.158 | Time: 24.64s | Cur: 72.26W (S:4.17%) | Std: 18.12 | Best: 72.26W
Gen 39 (ES) | Pop: 128 | Sigma: 0.161 | Time: 24.91s | Cur: 72.26W (S:4.17%) | Std: 15.33 | Best: 72.26W
Gen 40 (ES) | Pop: 128 | Sigma: 0.164 | Time: 24.83s | Cur: 72.26W (S:4.17%) | Std: 28.77 | Best: 72.26W
Gen 41 (ES) | Pop: 128 | Sigma: 0.167 | Time: 25.15s | Cur: 72.26W (S:4.17%) | Std: 12.00 | Best: 72.26W
Gen 42 (ES) | Pop: 128 | Sigma: 0.171 | Time: 25.38s | Cur: 72.26W (S:4.17%) | Std: 23.43 | Best: 72.26W
