--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 4.66s | Cur: 101.17W (S:5.83%) | Std: 20.20 | Best: 101.17W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 4.01s | Cur: 93.94W (S:5.42%) | Std: 20.91 | Best: 93.94W
Gen 2 (ES) | Pop: 128 | Sigma: 0.139 | Time: 3.96s | Cur: 101.17W (S:5.83%) | Std: 18.22 | Best: 93.94W
Gen 3 (ES) | Pop: 128 | Sigma: 0.142 | Time: 4.06s | Cur: 93.94W (S:5.42%) | Std: 19.67 | Best: 93.94W
Gen 4 (ES) | Pop: 128 | Sigma: 0.145 | Time: 4.75s | Cur: 101.17W (S:5.83%) | Std: 21.80 | Best: 93.94W
Gen 5 (ES) | Pop: 128 | Sigma: 0.148 | Time: 3.93s | Cur: 101.17W (S:5.83%) | Std: 21.15 | Best: 93.94W
Gen 6 (ES) | Pop: 128 | Sigma: 0.151 | Time: 4.13s | Cur: 93.94W (S:5.42%) | Std: 20.68 | Best: 93.94W
Gen 7 (ES) | Pop: 128 | Sigma: 0.154 | Time: 4.16s | Cur: 93.94W (S:5.42%) | Std: 21.95 | Best: 93.94W
Gen 8 (ES) | Pop: 128 | Sigma: 0.157 | Time: 4.27s | Cur: 93.94W (S:5.42%) | Std: 21.00 | Best: 93.94W
Gen 9 (ES) | Pop: 128 | Sigma: 0.160 | Time: 4.12s | Cur: 93.94W (S:5.42%) | Std: 20.24 | Best: 93.94W
Gen 10 (ES) | Pop: 128 | Sigma: 0.163 | Time: 4.15s | Cur: 93.94W (S:5.42%) | Std: 19.04 | Best: 93.94W
Gen 11 (ES) | Pop: 128 | Sigma: 0.166 | Time: 4.22s | Cur: 86.72W (S:5.00%) | Std: 20.19 | Best: 86.72W
Gen 12 (ES) | Pop: 128 | Sigma: 0.154 | Time: 4.75s | Cur: 79.49W (S:4.58%) | Std: 20.28 | Best: 79.49W
