--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 23.08s | Cur: 93.94W (S:5.42%) | Std: 58.73 | Best: 93.94W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 24.19s | Cur: 86.72W (S:7.50%) | Std: 64.63 | Best: 86.72W
Gen 2 (ES) | Pop: 128 | Sigma: 0.139 | Time: 24.11s | Cur: 101.17W (S:8.33%) | Std: 60.73 | Best: 86.72W
Gen 3 (ES) | Pop: 128 | Sigma: 0.141 | Time: 24.26s | Cur: 101.17W (S:8.33%) | Std: 58.51 | Best: 86.72W
Gen 4 (ES) | Pop: 128 | Sigma: 0.144 | Time: 24.88s | Cur: 93.94W (S:5.83%) | Std: 60.11 | Best: 86.72W
Gen 5 (ES) | Pop: 128 | Sigma: 0.147 | Time: 25.07s | Cur: 86.72W (S:5.00%) | Std: 55.32 | Best: 86.72W
Gen 6 (ES) | Pop: 128 | Sigma: 0.146 | Time: 24.89s | Cur: 86.72W (S:5.00%) | Std: 43.76 | Best: 86.72W
Gen 7 (ES) | Pop: 128 | Sigma: 0.148 | Time: 24.60s | Cur: 86.72W (S:5.42%) | Std: 36.94 | Best: 86.72W
Gen 8 (ES) | Pop: 128 | Sigma: 0.151 | Time: 25.76s | Cur: 86.72W (S:5.00%) | Std: 35.35 | Best: 86.72W
Gen 9 (ES) | Pop: 128 | Sigma: 0.154 | Time: 24.84s | Cur: 79.49W (S:4.58%) | Std: 34.01 | Best: 79.49W
Gen 10 (ES) | Pop: 128 | Sigma: 0.142 | Time: 24.86s | Cur: 86.72W (S:5.42%) | Std: 21.80 | Best: 79.49W
Gen 11 (ES) | Pop: 128 | Sigma: 0.144 | Time: 24.59s | Cur: 86.72W (S:5.00%) | Std: 16.90 | Best: 79.49W
Gen 12 (ES) | Pop: 128 | Sigma: 0.147 | Time: 24.84s | Cur: 79.49W (S:5.00%) | Std: 12.78 | Best: 79.49W
Gen 13 (ES) | Pop: 128 | Sigma: 0.150 | Time: 25.23s | Cur: 86.72W (S:5.00%) | Std: 14.72 | Best: 79.49W
Gen 14 (ES) | Pop: 128 | Sigma: 0.153 | Time: 25.60s | Cur: 86.72W (S:5.42%) | Std: 9.54 | Best: 79.49W
Gen 15 (ES) | Pop: 128 | Sigma: 0.156 | Time: 25.08s | Cur: 79.49W (S:4.58%) | Std: 15.20 | Best: 79.49W
Gen 16 (ES) | Pop: 128 | Sigma: 0.159 | Time: 25.05s | Cur: 79.49W (S:5.00%) | Std: 11.84 | Best: 79.49W
Gen 17 (ES) | Pop: 128 | Sigma: 0.163 | Time: 25.84s | Cur: 79.49W (S:4.58%) | Std: 13.32 | Best: 79.49W
Gen 18 (ES) | Pop: 128 | Sigma: 0.166 | Time: 25.18s | Cur: 79.49W (S:4.58%) | Std: 11.53 | Best: 79.49W
Gen 19 (ES) | Pop: 128 | Sigma: 0.169 | Time: 25.46s | Cur: 79.49W (S:5.00%) | Std: 13.19 | Best: 79.49W
Gen 20 (ES) | Pop: 128 | Sigma: 0.173 | Time: 25.08s | Cur: 79.49W (S:4.58%) | Std: 13.35 | Best: 79.49W
Gen 21 (ES) | Pop: 128 | Sigma: 0.176 | Time: 25.98s | Cur: 79.49W (S:4.58%) | Std: 19.17 | Best: 79.49W
Gen 22 (ES) | Pop: 128 | Sigma: 0.180 | Time: 25.44s | Cur: 79.49W (S:4.58%) | Std: 20.00 | Best: 79.49W
Gen 23 (ES) | Pop: 128 | Sigma: 0.183 | Time: 25.36s | Cur: 79.49W (S:4.58%) | Std: 16.85 | Best: 79.49W
Gen 24 (ES) | Pop: 128 | Sigma: 0.187 | Time: 25.65s | Cur: 79.49W (S:4.58%) | Std: 16.37 | Best: 79.49W
Gen 25 (ES) | Pop: 128 | Sigma: 0.191 | Time: 25.30s | Cur: 79.49W (S:4.58%) | Std: 25.86 | Best: 79.49W
