--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 6.02s | Cur: 2363.64W (S:23.81%) | Std: 70.60 | Best: 2363.64W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 3.33s | Cur: 2316.36W (S:23.33%) | Std: 75.96 | Best: 2316.36W
Gen 2 (ES) | Pop: 128 | Sigma: 0.147 | Time: 5.95s | Cur: 2387.27W (S:24.05%) | Std: 69.98 | Best: 2316.36W
Gen 3 (ES) | Pop: 128 | Sigma: 0.150 | Time: 2.82s | Cur: 2316.36W (S:23.33%) | Std: 61.66 | Best: 2316.36W
Gen 4 (ES) | Pop: 128 | Sigma: 0.153 | Time: 3.11s | Cur: 2410.91W (S:24.29%) | Std: 61.18 | Best: 2316.36W
Gen 5 (ES) | Pop: 128 | Sigma: 0.156 | Time: 5.22s | Cur: 2316.36W (S:23.33%) | Std: 62.59 | Best: 2316.36W
Gen 6 (ES) | Pop: 128 | Sigma: 0.159 | Time: 2.96s | Cur: 2340.00W (S:23.57%) | Std: 63.99 | Best: 2316.36W
Gen 7 (ES) | Pop: 128 | Sigma: 0.162 | Time: 3.09s | Cur: 2316.36W (S:23.33%) | Std: 75.07 | Best: 2316.36W
Gen 8 (ES) | Pop: 128 | Sigma: 0.166 | Time: 5.10s | Cur: 2316.36W (S:23.33%) | Std: 66.14 | Best: 2316.36W
Gen 9 (ES) | Pop: 128 | Sigma: 0.169 | Time: 2.85s | Cur: 2316.36W (S:23.33%) | Std: 71.25 | Best: 2316.36W
Gen 10 (ES) | Pop: 128 | Sigma: 0.172 | Time: 4.04s | Cur: 2269.09W (S:22.86%) | Std: 71.65 | Best: 2269.09W
Gen 11 (ES) | Pop: 128 | Sigma: 0.169 | Time: 4.41s | Cur: 2340.00W (S:23.57%) | Std: 71.53 | Best: 2269.09W
Gen 12 (ES) | Pop: 128 | Sigma: 0.172 | Time: 2.93s | Cur: 2316.36W (S:23.33%) | Std: 72.96 | Best: 2269.09W
Gen 13 (ES) | Pop: 128 | Sigma: 0.176 | Time: 4.75s | Cur: 2340.00W (S:23.57%) | Std: 82.04 | Best: 2269.09W
Gen 14 (ES) | Pop: 128 | Sigma: 0.179 | Time: 3.66s | Cur: 2292.73W (S:23.10%) | Std: 90.23 | Best: 2269.09W
Gen 15 (ES) | Pop: 128 | Sigma: 0.183 | Time: 3.09s | Cur: 2316.36W (S:23.33%) | Std: 83.86 | Best: 2269.09W
Gen 16 (ES) | Pop: 128 | Sigma: 0.186 | Time: 5.15s | Cur: 2292.73W (S:23.10%) | Std: 79.67 | Best: 2269.09W
Gen 17 (ES) | Pop: 128 | Sigma: 0.190 | Time: 3.84s | Cur: 2292.73W (S:23.10%) | Std: 109.54 | Best: 2269.09W
Gen 18 (ES) | Pop: 128 | Sigma: 0.194 | Time: 2.86s | Cur: 2316.36W (S:23.33%) | Std: 90.38 | Best: 2269.09W
Gen 19 (ES) | Pop: 128 | Sigma: 0.198 | Time: 4.64s | Cur: 2340.00W (S:23.57%) | Std: 74.25 | Best: 2269.09W
Gen 20 (ES) | Pop: 128 | Sigma: 0.202 | Time: 3.85s | Cur: 2292.73W (S:23.10%) | Std: 118.17 | Best: 2269.09W
Gen 21 (ES) | Pop: 128 | Sigma: 0.206 | Time: 3.40s | Cur: 2292.73W (S:23.10%) | Std: 92.18 | Best: 2269.09W
Gen 22 (ES) | Pop: 128 | Sigma: 0.210 | Time: 5.09s | Cur: 2269.09W (S:22.86%) | Std: 100.78 | Best: 2269.09W
