--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 64 | Time: 15.39s | Cur: 2458.18W (S:24.76%) | Std: 128.05 | Best: 2458.18W
Gen 1 (ES) | Pop: 64 | Time: 10.04s | Cur: 2434.55W (S:24.52%) | Std: 97.68 | Best: 2434.55W
Gen 2 (ES) | Pop: 64 | Time: 9.59s | Cur: 2387.27W (S:24.05%) | Std: 92.03 | Best: 2387.27W
Gen 3 (ES) | Pop: 64 | Time: 10.72s | Cur: 2410.91W (S:24.29%) | Std: 82.28 | Best: 2387.27W
Gen 4 (ES) | Pop: 64 | Time: 8.52s | Cur: 2387.27W (S:24.05%) | Std: 62.54 | Best: 2387.27W
Gen 5 (ES) | Pop: 64 | Time: 8.65s | Cur: 2410.91W (S:24.29%) | Std: 63.98 | Best: 2387.27W
Gen 6 (ES) | Pop: 64 | Time: 8.66s | Cur: 2387.27W (S:24.05%) | Std: 46.15 | Best: 2387.27W
Gen 7 (ES) | Pop: 64 | Time: 9.66s | Cur: 2410.91W (S:24.29%) | Std: 44.79 | Best: 2387.27W
Gen 8 (ES) | Pop: 64 | Time: 8.92s | Cur: 2363.64W (S:23.81%) | Std: 50.91 | Best: 2363.64W
Gen 9 (ES) | Pop: 64 | Time: 9.02s | Cur: 2340.00W (S:23.57%) | Std: 53.26 | Best: 2340.00W
Gen 10 (ES) | Pop: 64 | Time: 8.93s | Cur: 2363.64W (S:23.81%) | Std: 40.49 | Best: 2340.00W
Gen 11 (ES) | Pop: 64 | Time: 8.69s | Cur: 2316.36W (S:23.33%) | Std: 40.10 | Best: 2316.36W
Gen 12 (ES) | Pop: 64 | Time: 8.83s | Cur: 2340.00W (S:23.57%) | Std: 47.22 | Best: 2316.36W
Gen 13 (ES) | Pop: 64 | Time: 8.98s | Cur: 2340.00W (S:23.57%) | Std: 37.84 | Best: 2316.36W
Gen 14 (ES) | Pop: 64 | Time: 10.09s | Cur: 2340.00W (S:23.57%) | Std: 37.42 | Best: 2316.36W
Gen 15 (ES) | Pop: 64 | Time: 9.51s | Cur: 2316.36W (S:23.33%) | Std: 44.22 | Best: 2316.36W
Gen 16 (ES) | Pop: 64 | Time: 9.72s | Cur: 2292.73W (S:23.10%) | Std: 42.72 | Best: 2292.73W
Gen 17 (ES) | Pop: 64 | Time: 9.21s | Cur: 2340.00W (S:23.57%) | Std: 37.11 | Best: 2292.73W
Gen 18 (ES) | Pop: 64 | Time: 9.26s | Cur: 2316.36W (S:23.33%) | Std: 39.39 | Best: 2292.73W
Gen 19 (ES) | Pop: 64 | Time: 9.22s | Cur: 2340.00W (S:23.57%) | Std: 34.94 | Best: 2292.73W
Gen 20 (ES) | Pop: 64 | Time: 8.96s | Cur: 2316.36W (S:23.33%) | Std: 39.71 | Best: 2292.73W
Gen 21 (ES) | Pop: 64 | Time: 9.54s | Cur: 2269.09W (S:22.86%) | Std: 44.26 | Best: 2269.09W
Gen 22 (ES) | Pop: 64 | Time: 9.07s | Cur: 2316.36W (S:23.33%) | Std: 32.42 | Best: 2269.09W
Gen 23 (ES) | Pop: 64 | Time: 9.48s | Cur: 2292.73W (S:23.10%) | Std: 68.96 | Best: 2269.09W
Gen 24 (ES) | Pop: 64 | Time: 9.07s | Cur: 2292.73W (S:23.10%) | Std: 51.48 | Best: 2269.09W
Gen 25 (ES) | Pop: 64 | Time: 10.28s | Cur: 2292.73W (S:23.10%) | Std: 38.35 | Best: 2269.09W
Gen 26 (ES) | Pop: 64 | Time: 9.61s | Cur: 2292.73W (S:23.10%) | Std: 34.78 | Best: 2269.09W
