--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 44.88s | Cur: 2245.45W (S:39.05%) | Std: 193.15 | Best: 2245.45W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 45.44s | Cur: 2198.18W (S:38.33%) | Std: 181.88 | Best: 2198.18W
Gen 2 (ES) | Pop: 128 | Sigma: 0.147 | Time: 45.09s | Cur: 2174.55W (S:36.67%) | Std: 128.10 | Best: 2174.55W
Gen 3 (ES) | Pop: 128 | Sigma: 0.145 | Time: 44.12s | Cur: 2198.18W (S:36.43%) | Std: 110.49 | Best: 2174.55W
Gen 4 (ES) | Pop: 128 | Sigma: 0.148 | Time: 47.38s | Cur: 2198.18W (S:37.14%) | Std: 68.45 | Best: 2174.55W
Gen 5 (ES) | Pop: 128 | Sigma: 0.151 | Time: 50.49s | Cur: 2127.27W (S:38.33%) | Std: 87.52 | Best: 2127.27W
Gen 6 (ES) | Pop: 128 | Sigma: 0.148 | Time: 48.62s | Cur: 2150.91W (S:36.90%) | Std: 77.39 | Best: 2127.27W
Gen 7 (ES) | Pop: 128 | Sigma: 0.151 | Time: 47.85s | Cur: 2150.91W (S:39.29%) | Std: 69.64 | Best: 2127.27W
Gen 8 (ES) | Pop: 128 | Sigma: 0.154 | Time: 45.76s | Cur: 2198.18W (S:38.33%) | Std: 68.16 | Best: 2127.27W
Gen 9 (ES) | Pop: 128 | Sigma: 0.157 | Time: 48.86s | Cur: 2174.55W (S:39.05%) | Std: 61.45 | Best: 2127.27W
Gen 10 (ES) | Pop: 128 | Sigma: 0.160 | Time: 48.48s | Cur: 2198.18W (S:39.29%) | Std: 62.78 | Best: 2127.27W
Gen 11 (ES) | Pop: 128 | Sigma: 0.163 | Time: 47.09s | Cur: 2198.18W (S:37.38%) | Std: 61.54 | Best: 2127.27W
Gen 12 (ES) | Pop: 128 | Sigma: 0.167 | Time: 49.39s | Cur: 2150.91W (S:39.29%) | Std: 61.26 | Best: 2127.27W
Gen 13 (ES) | Pop: 128 | Sigma: 0.170 | Time: 48.56s | Cur: 2150.91W (S:36.43%) | Std: 64.43 | Best: 2127.27W
Gen 14 (ES) | Pop: 128 | Sigma: 0.173 | Time: 44.55s | Cur: 2174.55W (S:38.33%) | Std: 72.31 | Best: 2127.27W
