--- BIPOP-CMA-ES Training Log for Bypass=False ---
Gen 0 (R0-L) | Pop: 64 | Time: 15.39s | Cur: 880.97W (Spec:8.10%) | HistBest: 880.97W
Gen 1 (R0-L) | Pop: 64 | Time: 12.04s | Cur: 817.82W (Spec:8.57%) | HistBest: 817.82W
Gen 2 (R0-L) | Pop: 64 | Time: 12.26s | Cur: 835.52W (Spec:8.10%) | HistBest: 817.82W
Gen 3 (R0-L) | Pop: 64 | Time: 10.29s | Cur: 936.48W (Spec:9.05%) | HistBest: 817.82W
Gen 4 (R0-L) | Pop: 64 | Time: 11.41s | Cur: 863.27W (Spec:8.57%) | HistBest: 817.82W
Gen 5 (R0-L) | Pop: 64 | Time: 13.08s | Cur: 863.27W (Spec:8.57%) | HistBest: 817.82W
Gen 6 (R0-L) | Pop: 64 | Time: 9.39s | Cur: 685.27W (Spec:7.86%) | HistBest: 685.27W
Gen 7 (R0-L) | Pop: 64 | Time: 11.58s | Cur: 803.94W (Spec:8.33%) | HistBest: 685.27W
Gen 8 (R0-L) | Pop: 64 | Time: 17.73s | Cur: 831.70W (Spec:8.81%) | HistBest: 685.27W
Gen 9 (R0-L) | Pop: 64 | Time: 12.45s | Cur: 744.61W (Spec:8.10%) | HistBest: 685.27W
Gen 10 (R0-L) | Pop: 64 | Time: 12.42s | Cur: 772.36W (Spec:8.57%) | HistBest: 685.27W
Gen 11 (R0-L) | Pop: 64 | Time: 10.21s | Cur: 744.61W (Spec:8.10%) | HistBest: 685.27W
Gen 12 (R0-L) | Pop: 64 | Time: 11.46s | Cur: 730.73W (Spec:7.86%) | HistBest: 685.27W
Gen 13 (R0-L) | Pop: 64 | Time: 10.16s | Cur: 758.48W (Spec:8.33%) | HistBest: 685.27W
Gen 14 (R0-L) | Pop: 64 | Time: 10.43s | Cur: 730.73W (Spec:7.86%) | HistBest: 685.27W
Gen 15 (R0-L) | Pop: 64 | Time: 9.74s | Cur: 744.61W (Spec:8.10%) | HistBest: 685.27W
Gen 16 (R0-L) | Pop: 64 | Time: 10.95s | Cur: 730.73W (Spec:7.86%) | HistBest: 685.27W
Gen 17 (R0-L) | Pop: 64 | Time: 10.86s | Cur: 702.97W (Spec:7.38%) | HistBest: 685.27W
Gen 18 (R0-L) | Pop: 64 | Time: 10.89s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 19 (R0-L) | Pop: 64 | Time: 10.04s | Cur: 699.15W (Spec:8.10%) | HistBest: 685.27W
Gen 20 (R0-L) | Pop: 64 | Time: 12.01s | Cur: 744.61W (Spec:8.10%) | HistBest: 685.27W
Gen 21 (R0-L) | Pop: 64 | Time: 12.79s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 22 (R0-L) | Pop: 64 | Time: 9.85s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 23 (R0-L) | Pop: 64 | Time: 11.01s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 24 (R0-L) | Pop: 64 | Time: 10.88s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 25 (R0-L) | Pop: 64 | Time: 10.54s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 26 (R0-L) | Pop: 64 | Time: 11.29s | Cur: 716.85W (Spec:7.62%) | HistBest: 685.27W
Gen 27 (R0-L) | Pop: 64 | Time: 10.13s | Cur: 671.39W (Spec:7.62%) | HistBest: 671.39W
Gen 28 (R0-L) | Pop: 64 | Time: 10.64s | Cur: 716.85W (Spec:7.62%) | HistBest: 671.39W
Gen 29 (R0-L) | Pop: 64 | Time: 10.29s | Cur: 716.85W (Spec:7.62%) | HistBest: 671.39W
Gen 30 (R0-L) | Pop: 64 | Time: 10.23s | Cur: 702.97W (Spec:7.38%) | HistBest: 671.39W
