--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 64 | Time: 8.11s | Cur: 863.27W (S:8.57%) | Std: 76.48 | Best: 863.27W
Gen 1 (ES) | Pop: 64 | Time: 6.52s | Cur: 776.18W (S:7.86%) | Std: 98.96 | Best: 776.18W
Gen 2 (ES) | Pop: 64 | Time: 6.60s | Cur: 744.61W (S:8.10%) | Std: 86.60 | Best: 744.61W
Gen 3 (ES) | Pop: 64 | Time: 7.39s | Cur: 776.18W (S:7.86%) | Std: 65.33 | Best: 744.61W
Gen 4 (ES) | Pop: 64 | Time: 6.56s | Cur: 772.36W (S:8.57%) | Std: 62.13 | Best: 744.61W
Gen 5 (ES) | Pop: 64 | Time: 6.52s | Cur: 730.73W (S:7.86%) | Std: 63.82 | Best: 730.73W
Gen 6 (ES) | Pop: 64 | Time: 6.73s | Cur: 730.73W (S:7.86%) | Std: 57.85 | Best: 730.73W
Gen 7 (ES) | Pop: 64 | Time: 6.21s | Cur: 730.73W (S:7.86%) | Std: 61.14 | Best: 730.73W
Gen 8 (ES) | Pop: 64 | Time: 6.37s | Cur: 685.27W (S:7.86%) | Std: 54.07 | Best: 685.27W
Gen 9 (ES) | Pop: 64 | Time: 6.34s | Cur: 744.61W (S:8.10%) | Std: 64.11 | Best: 685.27W
Gen 10 (ES) | Pop: 64 | Time: 6.20s | Cur: 730.73W (S:7.86%) | Std: 55.98 | Best: 685.27W
Gen 11 (ES) | Pop: 64 | Time: 6.59s | Cur: 730.73W (S:7.86%) | Std: 55.56 | Best: 685.27W
Gen 12 (ES) | Pop: 64 | Time: 6.40s | Cur: 685.27W (S:7.86%) | Std: 58.39 | Best: 685.27W
Gen 13 (ES) | Pop: 64 | Time: 6.40s | Cur: 730.73W (S:7.86%) | Std: 54.37 | Best: 685.27W
Gen 14 (ES) | Pop: 64 | Time: 6.58s | Cur: 685.27W (S:7.86%) | Std: 60.69 | Best: 685.27W
Gen 15 (ES) | Pop: 64 | Time: 6.46s | Cur: 730.73W (S:7.86%) | Std: 58.42 | Best: 685.27W
Gen 16 (ES) | Pop: 64 | Time: 6.55s | Cur: 730.73W (S:7.86%) | Std: 71.42 | Best: 685.27W
Gen 17 (ES) | Pop: 64 | Time: 6.57s | Cur: 730.73W (S:7.86%) | Std: 59.14 | Best: 685.27W
Gen 18 (ES) | Pop: 64 | Time: 6.66s | Cur: 730.73W (S:7.86%) | Std: 59.11 | Best: 685.27W
Gen 19 (ES) | Pop: 64 | Time: 6.53s | Cur: 699.15W (S:8.10%) | Std: 58.91 | Best: 685.27W
Gen 20 (ES) | Pop: 64 | Time: 6.71s | Cur: 730.73W (S:7.86%) | Std: 66.69 | Best: 685.27W
Gen 21 (ES) | Pop: 64 | Time: 6.51s | Cur: 713.03W (S:8.33%) | Std: 75.63 | Best: 685.27W
Gen 22 (ES) | Pop: 64 | Time: 6.61s | Cur: 699.15W (S:8.10%) | Std: 76.74 | Best: 685.27W
Gen 23 (ES) | Pop: 64 | Time: 6.91s | Cur: 713.03W (S:8.33%) | Std: 70.31 | Best: 685.27W
Gen 24 (ES) | Pop: 64 | Time: 6.76s | Cur: 699.15W (S:8.10%) | Std: 72.94 | Best: 685.27W
