--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 64 | Time: 21.84s | Cur: 1277.21W (S:21.67%) | Std: 144.73 | Best: 1277.21W
Gen 1 (ES) | Pop: 64 | Time: 28.25s | Cur: 1235.58W (S:20.71%) | Std: 107.53 | Best: 1235.58W
Gen 2 (ES) | Pop: 64 | Time: 24.97s | Cur: 1204.00W (S:21.67%) | Std: 72.19 | Best: 1204.00W
Gen 3 (ES) | Pop: 64 | Time: 21.12s | Cur: 1235.58W (S:19.29%) | Std: 64.84 | Best: 1204.00W
Gen 4 (ES) | Pop: 64 | Time: 19.63s | Cur: 1207.82W (S:20.24%) | Std: 57.54 | Best: 1204.00W
Gen 5 (ES) | Pop: 64 | Time: 18.74s | Cur: 1193.94W (S:20.00%) | Std: 64.07 | Best: 1193.94W
Gen 6 (ES) | Pop: 64 | Time: 18.92s | Cur: 1193.94W (S:19.29%) | Std: 40.87 | Best: 1193.94W
Gen 7 (ES) | Pop: 64 | Time: 18.79s | Cur: 1207.82W (S:20.24%) | Std: 20.81 | Best: 1193.94W
Gen 8 (ES) | Pop: 64 | Time: 18.91s | Cur: 1207.82W (S:20.24%) | Std: 10.91 | Best: 1193.94W
Gen 9 (ES) | Pop: 64 | Time: 20.02s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 10 (ES) | Pop: 64 | Time: 19.09s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 11 (ES) | Pop: 64 | Time: 18.85s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 12 (ES) | Pop: 64 | Time: 18.85s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 13 (ES) | Pop: 64 | Time: 18.67s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
