--- BIPOP-CMA-ES Training Log for Bypass=False ---
Gen 0 (R0-L) | Pop: 64 | Time: 7.00s | Cur: 1392.06W (Spec:14.52%) | HistBest: 1392.06W
Gen 1 (R0-L) | Pop: 64 | Time: 5.92s | Cur: 1356.67W (Spec:15.48%) | HistBest: 1356.67W
Gen 2 (R0-L) | Pop: 64 | Time: 5.77s | Cur: 1346.61W (Spec:14.52%) | HistBest: 1346.61W
Gen 3 (R0-L) | Pop: 64 | Time: 6.20s | Cur: 1392.06W (Spec:14.52%) | HistBest: 1346.61W
Gen 4 (R0-L) | Pop: 64 | Time: 6.56s | Cur: 1423.64W (Spec:14.29%) | HistBest: 1346.61W
Gen 5 (R0-L) | Pop: 64 | Time: 6.26s | Cur: 1378.18W (Spec:14.29%) | HistBest: 1346.61W
Gen 6 (R0-L) | Pop: 64 | Time: 5.97s | Cur: 1374.36W (Spec:15.00%) | HistBest: 1346.61W
Gen 7 (R0-L) | Pop: 64 | Time: 6.62s | Cur: 1318.85W (Spec:14.05%) | HistBest: 1318.85W
Gen 8 (R0-L) | Pop: 64 | Time: 6.21s | Cur: 1287.27W (Spec:14.29%) | HistBest: 1287.27W
Gen 9 (R0-L) | Pop: 64 | Time: 6.15s | Cur: 1304.97W (Spec:13.81%) | HistBest: 1287.27W
Gen 10 (R0-L) | Pop: 64 | Time: 6.13s | Cur: 1214.06W (Spec:13.81%) | HistBest: 1214.06W
Gen 11 (R0-L) | Pop: 64 | Time: 6.78s | Cur: 1273.39W (Spec:14.05%) | HistBest: 1214.06W
Gen 12 (R0-L) | Pop: 64 | Time: 6.79s | Cur: 1273.39W (Spec:14.05%) | HistBest: 1214.06W
Gen 13 (R0-L) | Pop: 64 | Time: 7.13s | Cur: 1301.15W (Spec:14.52%) | HistBest: 1214.06W
Gen 14 (R0-L) | Pop: 64 | Time: 6.72s | Cur: 1241.82W (Spec:14.29%) | HistBest: 1214.06W
Gen 15 (R0-L) | Pop: 64 | Time: 6.35s | Cur: 1245.64W (Spec:13.57%) | HistBest: 1214.06W
Gen 16 (R0-L) | Pop: 64 | Time: 6.18s | Cur: 1186.30W (Spec:13.33%) | HistBest: 1186.30W
Gen 17 (R0-L) | Pop: 64 | Time: 6.44s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 18 (R0-L) | Pop: 64 | Time: 6.40s | Cur: 1231.76W (Spec:13.33%) | HistBest: 1172.42W
Gen 19 (R0-L) | Pop: 64 | Time: 6.22s | Cur: 1231.76W (Spec:13.33%) | HistBest: 1172.42W
Gen 20 (R0-L) | Pop: 64 | Time: 6.26s | Cur: 1227.94W (Spec:14.05%) | HistBest: 1172.42W
Gen 21 (R0-L) | Pop: 64 | Time: 6.55s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 22 (R0-L) | Pop: 64 | Time: 6.41s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 23 (R0-L) | Pop: 64 | Time: 6.93s | Cur: 1214.06W (Spec:13.81%) | HistBest: 1172.42W
Gen 24 (R0-L) | Pop: 64 | Time: 6.26s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 25 (R0-L) | Pop: 64 | Time: 6.18s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 26 (R0-L) | Pop: 64 | Time: 6.37s | Cur: 1217.88W (Spec:13.10%) | HistBest: 1172.42W
Gen 27 (R0-L) | Pop: 64 | Time: 7.09s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 28 (R0-L) | Pop: 64 | Time: 6.46s | Cur: 1214.06W (Spec:13.81%) | HistBest: 1172.42W
Gen 29 (R0-L) | Pop: 64 | Time: 6.48s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 30 (R0-L) | Pop: 64 | Time: 6.35s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 31 (R0-L) | Pop: 64 | Time: 6.63s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 32 (R0-L) | Pop: 64 | Time: 7.83s | Cur: 1186.30W (Spec:13.33%) | HistBest: 1172.42W
Gen 33 (R0-L) | Pop: 64 | Time: 6.79s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 34 (R0-L) | Pop: 64 | Time: 7.41s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 35 (R0-L) | Pop: 64 | Time: 7.19s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 36 (R0-L) | Pop: 64 | Time: 6.69s | Cur: 1214.06W (Spec:13.81%) | HistBest: 1172.42W
Gen 37 (R0-L) | Pop: 64 | Time: 6.89s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 38 (R0-L) | Pop: 64 | Time: 6.82s | Cur: 1217.88W (Spec:13.10%) | HistBest: 1172.42W
Gen 39 (R0-L) | Pop: 64 | Time: 7.02s | Cur: 1186.30W (Spec:13.33%) | HistBest: 1172.42W
Gen 40 (R0-L) | Pop: 64 | Time: 6.86s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 41 (R0-L) | Pop: 64 | Time: 7.43s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 42 (R0-L) | Pop: 64 | Time: 7.05s | Cur: 1186.30W (Spec:13.33%) | HistBest: 1172.42W
Gen 43 (R0-L) | Pop: 64 | Time: 7.12s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 44 (R0-L) | Pop: 64 | Time: 6.94s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 45 (R0-L) | Pop: 64 | Time: 7.11s | Cur: 1186.30W (Spec:13.33%) | HistBest: 1172.42W
Gen 46 (R0-L) | Pop: 64 | Time: 6.86s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
Gen 47 (R0-L) | Pop: 64 | Time: 6.79s | Cur: 1200.18W (Spec:13.57%) | HistBest: 1172.42W
Gen 48 (R0-L) | Pop: 64 | Time: 6.73s | Cur: 1186.30W (Spec:13.33%) | HistBest: 1172.42W
Gen 49 (R0-L) | Pop: 64 | Time: 6.85s | Cur: 1172.42W (Spec:13.10%) | HistBest: 1172.42W
