--- BIPOP-CMA-ES Training Log for Bypass=True ---
Gen 0 (R0-L) | Pop: 64 | Time: 36.09s | Cur: 1360.48W (Spec:24.29%) | HistBest: 1360.48W
Gen 1 (R0-L) | Pop: 64 | Time: 37.72s | Cur: 1304.97W (Spec:24.52%) | HistBest: 1304.97W
Gen 2 (R0-L) | Pop: 64 | Time: 37.11s | Cur: 1332.73W (Spec:25.24%) | HistBest: 1304.97W
Gen 3 (R0-L) | Pop: 64 | Time: 38.81s | Cur: 1318.85W (Spec:23.81%) | HistBest: 1304.97W
Gen 4 (R0-L) | Pop: 64 | Time: 39.90s | Cur: 1332.73W (Spec:24.52%) | HistBest: 1304.97W
Gen 5 (R0-L) | Pop: 64 | Time: 39.50s | Cur: 1328.91W (Spec:26.90%) | HistBest: 1304.97W
Gen 6 (R0-L) | Pop: 64 | Time: 46.32s | Cur: 1304.97W (Spec:23.10%) | HistBest: 1304.97W
Gen 7 (R0-L) | Pop: 64 | Time: 48.48s | Cur: 1291.09W (Spec:23.57%) | HistBest: 1291.09W
Gen 8 (R0-L) | Pop: 64 | Time: 39.87s | Cur: 1291.09W (Spec:23.33%) | HistBest: 1291.09W
Gen 9 (R0-L) | Pop: 64 | Time: 40.21s | Cur: 1304.97W (Spec:25.24%) | HistBest: 1291.09W
Gen 10 (R0-L) | Pop: 64 | Time: 40.50s | Cur: 1315.03W (Spec:25.71%) | HistBest: 1291.09W
Gen 11 (R0-L) | Pop: 64 | Time: 40.49s | Cur: 1273.39W (Spec:22.62%) | HistBest: 1273.39W
Gen 12 (R0-L) | Pop: 64 | Time: 39.95s | Cur: 1304.97W (Spec:22.86%) | HistBest: 1273.39W
Gen 13 (R0-L) | Pop: 64 | Time: 39.17s | Cur: 1304.97W (Spec:24.05%) | HistBest: 1273.39W
Gen 14 (R0-L) | Pop: 64 | Time: 39.55s | Cur: 1287.27W (Spec:25.24%) | HistBest: 1273.39W
Gen 15 (R0-L) | Pop: 64 | Time: 39.36s | Cur: 1227.94W (Spec:24.52%) | HistBest: 1227.94W
Gen 16 (R0-L) | Pop: 64 | Time: 39.75s | Cur: 1291.09W (Spec:24.05%) | HistBest: 1227.94W
Gen 17 (R0-L) | Pop: 64 | Time: 41.37s | Cur: 1259.52W (Spec:24.05%) | HistBest: 1227.94W
Gen 18 (R0-L) | Pop: 64 | Time: 39.34s | Cur: 1259.52W (Spec:23.33%) | HistBest: 1227.94W
Gen 19 (R0-L) | Pop: 64 | Time: 40.24s | Cur: 1273.39W (Spec:25.00%) | HistBest: 1227.94W
Gen 20 (R0-L) | Pop: 64 | Time: 41.07s | Cur: 1273.39W (Spec:22.86%) | HistBest: 1227.94W
