--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 44.65s | Cur: 150.55W (S:5.95%) | Std: 23.74 | Best: 150.55W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 45.87s | Cur: 168.62W (S:6.67%) | Std: 22.52 | Best: 150.55W
Gen 2 (ES) | Pop: 128 | Sigma: 0.153 | Time: 47.38s | Cur: 156.57W (S:6.19%) | Std: 23.59 | Best: 150.55W
Gen 3 (ES) | Pop: 128 | Sigma: 0.156 | Time: 49.49s | Cur: 150.55W (S:5.95%) | Std: 26.08 | Best: 150.55W
Gen 4 (ES) | Pop: 128 | Sigma: 0.159 | Time: 47.27s | Cur: 144.53W (S:5.71%) | Std: 28.44 | Best: 144.53W
Gen 5 (ES) | Pop: 128 | Sigma: 0.153 | Time: 49.39s | Cur: 156.57W (S:6.19%) | Std: 23.15 | Best: 144.53W
Gen 6 (ES) | Pop: 128 | Sigma: 0.156 | Time: 48.75s | Cur: 150.55W (S:5.95%) | Std: 27.19 | Best: 144.53W
Gen 7 (ES) | Pop: 128 | Sigma: 0.159 | Time: 52.00s | Cur: 126.46W (S:5.00%) | Std: 28.19 | Best: 126.46W
Gen 8 (ES) | Pop: 128 | Sigma: 0.139 | Time: 51.67s | Cur: 144.53W (S:5.71%) | Std: 28.11 | Best: 126.46W
Gen 9 (ES) | Pop: 128 | Sigma: 0.142 | Time: 52.44s | Cur: 138.51W (S:5.48%) | Std: 24.41 | Best: 126.46W
Gen 10 (ES) | Pop: 128 | Sigma: 0.145 | Time: 52.86s | Cur: 138.51W (S:5.48%) | Std: 24.97 | Best: 126.46W
Gen 11 (ES) | Pop: 128 | Sigma: 0.148 | Time: 50.52s | Cur: 138.51W (S:5.48%) | Std: 24.69 | Best: 126.46W
Gen 12 (ES) | Pop: 128 | Sigma: 0.151 | Time: 50.05s | Cur: 108.40W (S:4.29%) | Std: 26.77 | Best: 108.40W
Gen 13 (ES) | Pop: 128 | Sigma: 0.129 | Time: 54.54s | Cur: 132.48W (S:5.24%) | Std: 20.33 | Best: 108.40W
Gen 14 (ES) | Pop: 128 | Sigma: 0.132 | Time: 56.19s | Cur: 120.44W (S:4.76%) | Std: 20.08 | Best: 108.40W
Gen 15 (ES) | Pop: 128 | Sigma: 0.134 | Time: 53.30s | Cur: 120.44W (S:4.76%) | Std: 17.79 | Best: 108.40W
Gen 16 (ES) | Pop: 128 | Sigma: 0.137 | Time: 54.65s | Cur: 114.42W (S:4.52%) | Std: 18.46 | Best: 108.40W
Gen 17 (ES) | Pop: 128 | Sigma: 0.140 | Time: 56.77s | Cur: 114.42W (S:4.52%) | Std: 18.05 | Best: 108.40W
Gen 18 (ES) | Pop: 128 | Sigma: 0.143 | Time: 58.76s | Cur: 108.40W (S:4.29%) | Std: 19.29 | Best: 108.40W
Gen 19 (ES) | Pop: 128 | Sigma: 0.145 | Time: 62.27s | Cur: 108.40W (S:4.29%) | Std: 20.09 | Best: 108.40W
Gen 20 (ES) | Pop: 128 | Sigma: 0.148 | Time: 58.98s | Cur: 108.40W (S:4.29%) | Std: 20.68 | Best: 108.40W
Gen 21 (ES) | Pop: 128 | Sigma: 0.151 | Time: 63.81s | Cur: 102.37W (S:4.05%) | Std: 21.17 | Best: 102.37W
Gen 22 (ES) | Pop: 128 | Sigma: 0.143 | Time: 61.70s | Cur: 96.35W (S:3.81%) | Std: 16.82 | Best: 96.35W
Gen 23 (ES) | Pop: 128 | Sigma: 0.134 | Time: 64.80s | Cur: 96.35W (S:3.81%) | Std: 15.61 | Best: 96.35W
Gen 24 (ES) | Pop: 128 | Sigma: 0.137 | Time: 65.42s | Cur: 102.37W (S:4.05%) | Std: 10.33 | Best: 96.35W
Gen 25 (ES) | Pop: 128 | Sigma: 0.140 | Time: 67.37s | Cur: 96.35W (S:3.81%) | Std: 13.68 | Best: 96.35W
Gen 26 (ES) | Pop: 128 | Sigma: 0.143 | Time: 66.88s | Cur: 96.35W (S:3.81%) | Std: 9.30 | Best: 96.35W
Gen 27 (ES) | Pop: 128 | Sigma: 0.146 | Time: 66.70s | Cur: 102.37W (S:4.05%) | Std: 11.31 | Best: 96.35W
Gen 28 (ES) | Pop: 128 | Sigma: 0.148 | Time: 67.41s | Cur: 102.37W (S:4.05%) | Std: 9.28 | Best: 96.35W
