--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 266.71s | Cur: 144.53W (S:10.24%) | Std: 48.97 | Best: 144.53W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 261.64s | Cur: 114.42W (S:5.71%) | Std: 50.95 | Best: 114.42W
Gen 2 (ES) | Pop: 128 | Sigma: 0.119 | Time: 269.91s | Cur: 114.42W (S:5.95%) | Std: 49.60 | Best: 114.42W
Gen 3 (ES) | Pop: 128 | Sigma: 0.121 | Time: 271.45s | Cur: 114.42W (S:5.48%) | Std: 45.63 | Best: 114.42W
Gen 4 (ES) | Pop: 128 | Sigma: 0.120 | Time: 270.59s | Cur: 108.40W (S:4.76%) | Std: 38.70 | Best: 108.40W
Gen 5 (ES) | Pop: 128 | Sigma: 0.114 | Time: 278.14s | Cur: 114.42W (S:5.00%) | Std: 33.66 | Best: 108.40W
Gen 6 (ES) | Pop: 128 | Sigma: 0.116 | Time: 279.62s | Cur: 114.42W (S:4.76%) | Std: 28.47 | Best: 108.40W
Gen 7 (ES) | Pop: 128 | Sigma: 0.118 | Time: 274.00s | Cur: 114.42W (S:5.24%) | Std: 23.56 | Best: 108.40W
Gen 8 (ES) | Pop: 128 | Sigma: 0.121 | Time: 273.91s | Cur: 102.37W (S:4.52%) | Std: 20.88 | Best: 102.37W
Gen 9 (ES) | Pop: 128 | Sigma: 0.114 | Time: 275.80s | Cur: 102.37W (S:4.52%) | Std: 21.70 | Best: 102.37W
Gen 10 (ES) | Pop: 128 | Sigma: 0.116 | Time: 278.10s | Cur: 102.37W (S:4.05%) | Std: 20.83 | Best: 102.37W
Gen 11 (ES) | Pop: 128 | Sigma: 0.115 | Time: 281.94s | Cur: 102.37W (S:4.29%) | Std: 12.37 | Best: 102.37W
Gen 12 (ES) | Pop: 128 | Sigma: 0.117 | Time: 280.50s | Cur: 96.35W (S:4.05%) | Std: 13.75 | Best: 96.35W
Gen 13 (ES) | Pop: 128 | Sigma: 0.110 | Time: 273.77s | Cur: 102.37W (S:4.76%) | Std: 11.35 | Best: 96.35W
Gen 14 (ES) | Pop: 128 | Sigma: 0.113 | Time: 280.95s | Cur: 102.37W (S:4.05%) | Std: 9.15 | Best: 96.35W
Gen 15 (ES) | Pop: 128 | Sigma: 0.115 | Time: 285.91s | Cur: 102.37W (S:4.05%) | Std: 8.83 | Best: 96.35W
Gen 16 (ES) | Pop: 128 | Sigma: 0.117 | Time: 292.34s | Cur: 102.37W (S:4.05%) | Std: 10.74 | Best: 96.35W
Gen 17 (ES) | Pop: 128 | Sigma: 0.119 | Time: 297.14s | Cur: 102.37W (S:4.05%) | Std: 10.25 | Best: 96.35W
Gen 18 (ES) | Pop: 128 | Sigma: 0.122 | Time: 288.89s | Cur: 96.35W (S:5.24%) | Std: 9.65 | Best: 96.35W
Gen 19 (ES) | Pop: 128 | Sigma: 0.124 | Time: 291.13s | Cur: 102.37W (S:4.05%) | Std: 10.41 | Best: 96.35W
Gen 20 (ES) | Pop: 128 | Sigma: 0.127 | Time: 275.75s | Cur: 96.35W (S:4.29%) | Std: 9.77 | Best: 96.35W
Gen 21 (ES) | Pop: 128 | Sigma: 0.129 | Time: 293.72s | Cur: 96.35W (S:3.81%) | Std: 11.37 | Best: 96.35W
Gen 22 (ES) | Pop: 128 | Sigma: 0.128 | Time: 289.08s | Cur: 96.35W (S:3.81%) | Std: 10.49 | Best: 96.35W
Gen 23 (ES) | Pop: 128 | Sigma: 0.131 | Time: 289.88s | Cur: 102.37W (S:4.05%) | Std: 11.22 | Best: 96.35W
Gen 24 (ES) | Pop: 128 | Sigma: 0.133 | Time: 283.86s | Cur: 102.37W (S:4.05%) | Std: 11.30 | Best: 96.35W
Gen 25 (ES) | Pop: 128 | Sigma: 0.136 | Time: 284.77s | Cur: 102.37W (S:4.05%) | Std: 11.96 | Best: 96.35W
Gen 26 (ES) | Pop: 128 | Sigma: 0.139 | Time: 282.58s | Cur: 96.35W (S:3.81%) | Std: 15.28 | Best: 96.35W
Gen 27 (ES) | Pop: 128 | Sigma: 0.141 | Time: 290.71s | Cur: 96.35W (S:4.05%) | Std: 10.28 | Best: 96.35W
Gen 28 (ES) | Pop: 128 | Sigma: 0.144 | Time: 283.41s | Cur: 102.37W (S:4.05%) | Std: 11.40 | Best: 96.35W
Gen 29 (ES) | Pop: 128 | Sigma: 0.147 | Time: 290.28s | Cur: 102.37W (S:4.05%) | Std: 9.69 | Best: 96.35W
Gen 30 (ES) | Pop: 128 | Sigma: 0.150 | Time: 286.74s | Cur: 102.37W (S:4.05%) | Std: 11.79 | Best: 96.35W
Gen 31 (ES) | Pop: 128 | Sigma: 0.153 | Time: 291.48s | Cur: 96.35W (S:4.05%) | Std: 9.60 | Best: 96.35W
Gen 32 (ES) | Pop: 128 | Sigma: 0.156 | Time: 294.25s | Cur: 96.35W (S:3.81%) | Std: 11.34 | Best: 96.35W
Gen 33 (ES) | Pop: 128 | Sigma: 0.159 | Time: 283.52s | Cur: 96.35W (S:4.05%) | Std: 11.79 | Best: 96.35W
Gen 34 (ES) | Pop: 128 | Sigma: 0.162 | Time: 287.97s | Cur: 90.33W (S:3.57%) | Std: 12.42 | Best: 90.33W
Gen 35 (ES) | Pop: 128 | Sigma: 0.152 | Time: 282.55s | Cur: 102.37W (S:4.05%) | Std: 12.49 | Best: 90.33W
Gen 36 (ES) | Pop: 128 | Sigma: 0.155 | Time: 289.25s | Cur: 102.37W (S:4.05%) | Std: 10.16 | Best: 90.33W
Gen 37 (ES) | Pop: 128 | Sigma: 0.158 | Time: 283.28s | Cur: 96.35W (S:4.52%) | Std: 10.60 | Best: 90.33W
Gen 38 (ES) | Pop: 128 | Sigma: 0.162 | Time: 294.42s | Cur: 96.35W (S:4.05%) | Std: 10.38 | Best: 90.33W
Gen 39 (ES) | Pop: 128 | Sigma: 0.165 | Time: 295.93s | Cur: 102.37W (S:4.05%) | Std: 13.31 | Best: 90.33W
Gen 40 (ES) | Pop: 128 | Sigma: 0.168 | Time: 292.88s | Cur: 96.35W (S:4.05%) | Std: 13.26 | Best: 90.33W
Gen 41 (ES) | Pop: 128 | Sigma: 0.171 | Time: 296.03s | Cur: 96.35W (S:3.81%) | Std: 12.07 | Best: 90.33W
Gen 42 (ES) | Pop: 128 | Sigma: 0.175 | Time: 289.21s | Cur: 96.35W (S:4.05%) | Std: 11.42 | Best: 90.33W
Gen 43 (ES) | Pop: 128 | Sigma: 0.178 | Time: 285.74s | Cur: 102.37W (S:4.05%) | Std: 20.29 | Best: 90.33W
Gen 44 (ES) | Pop: 128 | Sigma: 0.182 | Time: 285.22s | Cur: 96.35W (S:3.81%) | Std: 16.05 | Best: 90.33W
Gen 45 (ES) | Pop: 128 | Sigma: 0.186 | Time: 280.61s | Cur: 96.35W (S:4.05%) | Std: 13.38 | Best: 90.33W
Gen 46 (ES) | Pop: 128 | Sigma: 0.189 | Time: 295.10s | Cur: 96.35W (S:4.29%) | Std: 16.62 | Best: 90.33W
Gen 47 (ES) | Pop: 128 | Sigma: 0.193 | Time: 294.26s | Cur: 96.35W (S:3.81%) | Std: 24.08 | Best: 90.33W
Gen 48 (ES) | Pop: 128 | Sigma: 0.197 | Time: 285.20s | Cur: 96.35W (S:3.81%) | Std: 14.16 | Best: 90.33W
Gen 49 (ES) | Pop: 128 | Sigma: 0.201 | Time: 290.00s | Cur: 96.35W (S:4.05%) | Std: 16.46 | Best: 90.33W
Gen 50 (ES) | Pop: 128 | Sigma: 0.205 | Time: 291.76s | Cur: 96.35W (S:3.81%) | Std: 16.57 | Best: 90.33W
Gen 51 (ES) | Pop: 128 | Sigma: 0.209 | Time: 289.90s | Cur: 96.35W (S:3.81%) | Std: 21.03 | Best: 90.33W
Gen 52 (ES) | Pop: 128 | Sigma: 0.213 | Time: 286.78s | Cur: 96.35W (S:4.05%) | Std: 17.63 | Best: 90.33W
Gen 53 (ES) | Pop: 128 | Sigma: 0.217 | Time: 288.82s | Cur: 96.35W (S:3.81%) | Std: 19.77 | Best: 90.33W
Gen 54 (ES) | Pop: 128 | Sigma: 0.222 | Time: 287.18s | Cur: 96.35W (S:3.81%) | Std: 20.46 | Best: 90.33W
Gen 55 (ES) | Pop: 128 | Sigma: 0.226 | Time: 284.99s | Cur: 90.33W (S:3.57%) | Std: 21.08 | Best: 90.33W
Gen 56 (ES) | Pop: 128 | Sigma: 0.231 | Time: 291.96s | Cur: 96.35W (S:3.81%) | Std: 17.46 | Best: 90.33W
Gen 57 (ES) | Pop: 128 | Sigma: 0.235 | Time: 284.70s | Cur: 96.35W (S:4.05%) | Std: 21.37 | Best: 90.33W
Gen 58 (ES) | Pop: 128 | Sigma: 0.240 | Time: 280.02s | Cur: 96.35W (S:3.81%) | Std: 22.62 | Best: 90.33W
Gen 59 (ES) | Pop: 128 | Sigma: 0.245 | Time: 285.57s | Cur: 96.35W (S:3.81%) | Std: 20.74 | Best: 90.33W
Gen 60 (ES) | Pop: 128 | Sigma: 0.250 | Time: 279.56s | Cur: 96.35W (S:3.81%) | Std: 19.62 | Best: 90.33W
Gen 61 (ES) | Pop: 128 | Sigma: 0.250 | Time: 278.43s | Cur: 96.35W (S:4.05%) | Std: 22.64 | Best: 90.33W
Gen 62 (ES) | Pop: 128 | Sigma: 0.250 | Time: 288.70s | Cur: 96.35W (S:3.81%) | Std: 32.21 | Best: 90.33W
Gen 63 (ES) | Pop: 128 | Sigma: 0.250 | Time: 285.01s | Cur: 96.35W (S:3.81%) | Std: 28.00 | Best: 90.33W
Gen 64 (ES) | Pop: 128 | Sigma: 0.250 | Time: 292.76s | Cur: 96.35W (S:4.05%) | Std: 16.94 | Best: 90.33W
Gen 65 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.91s | Cur: 96.35W (S:3.81%) | Std: 19.83 | Best: 90.33W
Gen 66 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.52s | Cur: 96.35W (S:3.81%) | Std: 24.68 | Best: 90.33W
Gen 67 (ES) | Pop: 128 | Sigma: 0.250 | Time: 282.88s | Cur: 96.35W (S:3.81%) | Std: 26.83 | Best: 90.33W
Gen 68 (ES) | Pop: 128 | Sigma: 0.250 | Time: 290.48s | Cur: 96.35W (S:3.81%) | Std: 29.07 | Best: 90.33W
Gen 69 (ES) | Pop: 128 | Sigma: 0.150 | Time: 254.92s | Cur: 120.44W (S:5.24%) | Std: 63.10 | Best: 90.33W
Gen 70 (ES) | Pop: 128 | Sigma: 0.153 | Time: 261.41s | Cur: 120.44W (S:5.00%) | Std: 56.93 | Best: 90.33W
Gen 71 (ES) | Pop: 128 | Sigma: 0.156 | Time: 259.57s | Cur: 114.42W (S:4.52%) | Std: 56.70 | Best: 90.33W
Gen 72 (ES) | Pop: 128 | Sigma: 0.159 | Time: 270.87s | Cur: 120.44W (S:5.00%) | Std: 47.26 | Best: 90.33W
Gen 73 (ES) | Pop: 128 | Sigma: 0.162 | Time: 262.45s | Cur: 114.42W (S:4.52%) | Std: 47.77 | Best: 90.33W
Gen 74 (ES) | Pop: 128 | Sigma: 0.166 | Time: 268.15s | Cur: 108.40W (S:5.48%) | Std: 44.70 | Best: 90.33W
Gen 75 (ES) | Pop: 128 | Sigma: 0.169 | Time: 271.99s | Cur: 108.40W (S:4.52%) | Std: 32.03 | Best: 90.33W
Gen 76 (ES) | Pop: 128 | Sigma: 0.172 | Time: 276.20s | Cur: 102.37W (S:4.05%) | Std: 38.35 | Best: 90.33W
Gen 77 (ES) | Pop: 128 | Sigma: 0.176 | Time: 278.42s | Cur: 114.42W (S:5.00%) | Std: 28.25 | Best: 90.33W
Gen 78 (ES) | Pop: 128 | Sigma: 0.179 | Time: 273.88s | Cur: 102.37W (S:4.29%) | Std: 18.56 | Best: 90.33W
Gen 79 (ES) | Pop: 128 | Sigma: 0.183 | Time: 275.76s | Cur: 96.35W (S:4.52%) | Std: 24.19 | Best: 90.33W
Gen 80 (ES) | Pop: 128 | Sigma: 0.187 | Time: 272.79s | Cur: 102.37W (S:5.24%) | Std: 20.27 | Best: 90.33W
Gen 81 (ES) | Pop: 128 | Sigma: 0.190 | Time: 280.16s | Cur: 108.40W (S:4.52%) | Std: 19.28 | Best: 90.33W
Gen 82 (ES) | Pop: 128 | Sigma: 0.194 | Time: 275.90s | Cur: 102.37W (S:4.05%) | Std: 14.64 | Best: 90.33W
Gen 83 (ES) | Pop: 128 | Sigma: 0.198 | Time: 277.11s | Cur: 102.37W (S:4.29%) | Std: 20.25 | Best: 90.33W
Gen 84 (ES) | Pop: 128 | Sigma: 0.202 | Time: 279.07s | Cur: 108.40W (S:4.29%) | Std: 16.02 | Best: 90.33W
Gen 85 (ES) | Pop: 128 | Sigma: 0.206 | Time: 275.77s | Cur: 108.40W (S:4.29%) | Std: 26.22 | Best: 90.33W
Gen 86 (ES) | Pop: 128 | Sigma: 0.210 | Time: 282.33s | Cur: 102.37W (S:4.05%) | Std: 14.61 | Best: 90.33W
Gen 87 (ES) | Pop: 128 | Sigma: 0.214 | Time: 277.72s | Cur: 108.40W (S:4.52%) | Std: 12.47 | Best: 90.33W
Gen 88 (ES) | Pop: 128 | Sigma: 0.219 | Time: 275.10s | Cur: 102.37W (S:4.05%) | Std: 21.28 | Best: 90.33W
Gen 89 (ES) | Pop: 128 | Sigma: 0.223 | Time: 271.74s | Cur: 102.37W (S:4.05%) | Std: 21.75 | Best: 90.33W
Gen 90 (ES) | Pop: 128 | Sigma: 0.227 | Time: 285.43s | Cur: 102.37W (S:4.05%) | Std: 15.46 | Best: 90.33W
Gen 91 (ES) | Pop: 128 | Sigma: 0.232 | Time: 287.29s | Cur: 96.35W (S:3.81%) | Std: 17.37 | Best: 90.33W
Gen 92 (ES) | Pop: 128 | Sigma: 0.237 | Time: 287.78s | Cur: 102.37W (S:4.05%) | Std: 26.88 | Best: 90.33W
