--- BIPOP-CMA-ES Training Log for Bypass=False ---
Gen 0 (R0-L) | Pop: 64 | Time: 9.35s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 1 (R0-L) | Pop: 64 | Time: 7.43s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 2 (R0-L) | Pop: 64 | Time: 8.30s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 3 (R0-L) | Pop: 64 | Time: 7.78s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 4 (R0-L) | Pop: 64 | Time: 7.90s | Cur: 529.93W (Spec:1.90%) | HistBest: 463.69W
Gen 5 (R0-L) | Pop: 64 | Time: 8.33s | Cur: 529.93W (Spec:1.90%) | HistBest: 463.69W
Gen 6 (R0-L) | Pop: 64 | Time: 8.24s | Cur: 529.93W (Spec:1.90%) | HistBest: 463.69W
Gen 7 (R0-L) | Pop: 64 | Time: 8.85s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 8 (R0-L) | Pop: 64 | Time: 8.12s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 9 (R0-L) | Pop: 64 | Time: 7.93s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 10 (R0-L) | Pop: 64 | Time: 7.60s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 11 (R0-L) | Pop: 64 | Time: 8.03s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 12 (R0-L) | Pop: 64 | Time: 8.07s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 13 (R0-L) | Pop: 64 | Time: 7.75s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 14 (R0-L) | Pop: 64 | Time: 8.17s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 15 (R0-L) | Pop: 64 | Time: 8.16s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 16 (R0-L) | Pop: 64 | Time: 8.08s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 17 (R0-L) | Pop: 64 | Time: 8.21s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 18 (R0-L) | Pop: 64 | Time: 8.22s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 19 (R0-L) | Pop: 64 | Time: 8.71s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 20 (R0-L) | Pop: 64 | Time: 8.81s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 21 (R0-L) | Pop: 64 | Time: 8.34s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 22 (R0-L) | Pop: 64 | Time: 8.42s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 23 (R0-L) | Pop: 64 | Time: 8.22s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 24 (R0-L) | Pop: 64 | Time: 8.23s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 25 (R0-L) | Pop: 64 | Time: 8.10s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 26 (R0-L) | Pop: 64 | Time: 8.36s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 27 (R0-L) | Pop: 64 | Time: 8.03s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 28 (R0-L) | Pop: 64 | Time: 8.06s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
Gen 29 (R0-L) | Pop: 64 | Time: 8.09s | Cur: 463.69W (Spec:1.67%) | HistBest: 463.69W
