--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 52.80s | Cur: 150.55W (S:5.95%) | Std: 27.08 | Best: 150.55W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 55.25s | Cur: 132.48W (S:5.24%) | Std: 28.05 | Best: 132.48W
Gen 2 (ES) | Pop: 128 | Sigma: 0.132 | Time: 56.78s | Cur: 126.46W (S:5.00%) | Std: 29.57 | Best: 126.46W
Gen 3 (ES) | Pop: 128 | Sigma: 0.126 | Time: 56.25s | Cur: 132.48W (S:5.24%) | Std: 29.20 | Best: 126.46W
Gen 4 (ES) | Pop: 128 | Sigma: 0.129 | Time: 58.96s | Cur: 138.51W (S:5.48%) | Std: 32.11 | Best: 126.46W
Gen 5 (ES) | Pop: 128 | Sigma: 0.131 | Time: 55.95s | Cur: 126.46W (S:5.00%) | Std: 27.71 | Best: 126.46W
Gen 6 (ES) | Pop: 128 | Sigma: 0.134 | Time: 58.25s | Cur: 132.48W (S:5.24%) | Std: 32.51 | Best: 126.46W
Gen 7 (ES) | Pop: 128 | Sigma: 0.136 | Time: 64.16s | Cur: 120.44W (S:4.76%) | Std: 32.96 | Best: 120.44W
Gen 8 (ES) | Pop: 128 | Sigma: 0.130 | Time: 73.82s | Cur: 126.46W (S:5.00%) | Std: 29.46 | Best: 120.44W
Gen 9 (ES) | Pop: 128 | Sigma: 0.132 | Time: 80.60s | Cur: 126.46W (S:5.00%) | Std: 30.60 | Best: 120.44W
Gen 10 (ES) | Pop: 128 | Sigma: 0.135 | Time: 78.62s | Cur: 126.46W (S:5.00%) | Std: 25.45 | Best: 120.44W
Gen 11 (ES) | Pop: 128 | Sigma: 0.138 | Time: 80.37s | Cur: 126.46W (S:5.00%) | Std: 25.70 | Best: 120.44W
Gen 12 (ES) | Pop: 128 | Sigma: 0.141 | Time: 82.60s | Cur: 114.42W (S:4.52%) | Std: 24.36 | Best: 114.42W
Gen 13 (ES) | Pop: 128 | Sigma: 0.134 | Time: 87.07s | Cur: 102.37W (S:4.05%) | Std: 17.93 | Best: 102.37W
Gen 14 (ES) | Pop: 128 | Sigma: 0.120 | Time: 81.27s | Cur: 96.35W (S:3.81%) | Std: 18.04 | Best: 96.35W
Gen 15 (ES) | Pop: 128 | Sigma: 0.112 | Time: 75.83s | Cur: 102.37W (S:4.05%) | Std: 13.80 | Best: 96.35W
Gen 16 (ES) | Pop: 128 | Sigma: 0.115 | Time: 80.86s | Cur: 66.24W (S:2.62%) | Std: 17.32 | Best: 66.24W
Gen 17 (ES) | Pop: 128 | Sigma: 0.100 | Time: 94.97s | Cur: 78.29W (S:3.10%) | Std: 13.97 | Best: 66.24W
Gen 18 (ES) | Pop: 128 | Sigma: 0.102 | Time: 87.46s | Cur: 66.24W (S:2.62%) | Std: 18.32 | Best: 66.24W
Gen 19 (ES) | Pop: 128 | Sigma: 0.104 | Time: 88.35s | Cur: 66.24W (S:2.62%) | Std: 19.19 | Best: 66.24W
Gen 20 (ES) | Pop: 128 | Sigma: 0.106 | Time: 89.64s | Cur: 66.24W (S:2.62%) | Std: 22.55 | Best: 66.24W
Gen 21 (ES) | Pop: 128 | Sigma: 0.105 | Time: 82.46s | Cur: 66.24W (S:2.62%) | Std: 22.51 | Best: 66.24W
Gen 22 (ES) | Pop: 128 | Sigma: 0.107 | Time: 80.30s | Cur: 66.24W (S:2.62%) | Std: 24.05 | Best: 66.24W
Gen 23 (ES) | Pop: 128 | Sigma: 0.109 | Time: 71.49s | Cur: 66.24W (S:2.62%) | Std: 22.27 | Best: 66.24W
Gen 24 (ES) | Pop: 128 | Sigma: 0.111 | Time: 76.48s | Cur: 66.24W (S:2.62%) | Std: 17.69 | Best: 66.24W
Gen 25 (ES) | Pop: 128 | Sigma: 0.114 | Time: 82.72s | Cur: 66.24W (S:2.62%) | Std: 15.29 | Best: 66.24W
Gen 26 (ES) | Pop: 128 | Sigma: 0.116 | Time: 82.75s | Cur: 66.24W (S:2.62%) | Std: 14.89 | Best: 66.24W
Gen 27 (ES) | Pop: 128 | Sigma: 0.118 | Time: 83.50s | Cur: 66.24W (S:2.62%) | Std: 12.75 | Best: 66.24W
Gen 28 (ES) | Pop: 128 | Sigma: 0.121 | Time: 79.09s | Cur: 66.24W (S:2.62%) | Std: 12.35 | Best: 66.24W
Gen 29 (ES) | Pop: 128 | Sigma: 0.123 | Time: 86.31s | Cur: 66.24W (S:2.62%) | Std: 7.12 | Best: 66.24W
Gen 30 (ES) | Pop: 128 | Sigma: 0.126 | Time: 85.91s | Cur: 66.24W (S:2.62%) | Std: 5.18 | Best: 66.24W
Gen 31 (ES) | Pop: 128 | Sigma: 0.128 | Time: 80.61s | Cur: 66.24W (S:2.62%) | Std: 6.91 | Best: 66.24W
Gen 32 (ES) | Pop: 128 | Sigma: 0.131 | Time: 86.07s | Cur: 66.24W (S:2.62%) | Std: 5.56 | Best: 66.24W
