--- OpenAI-ES Training Log for Bypass=True ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 310.23s | Cur: 72.26W (S:3.10%) | Std: 54.96 | Best: 72.26W
Gen 1 (ES) | Pop: 128 | Sigma: 0.150 | Time: 324.33s | Cur: 66.24W (S:2.62%) | Std: 58.98 | Best: 66.24W
Gen 2 (ES) | Pop: 128 | Sigma: 0.137 | Time: 311.34s | Cur: 66.24W (S:2.62%) | Std: 50.35 | Best: 66.24W
Gen 3 (ES) | Pop: 128 | Sigma: 0.140 | Time: 327.20s | Cur: 66.24W (S:2.62%) | Std: 40.28 | Best: 66.24W
Gen 4 (ES) | Pop: 128 | Sigma: 0.143 | Time: 314.96s | Cur: 66.24W (S:2.62%) | Std: 39.39 | Best: 66.24W
Gen 5 (ES) | Pop: 128 | Sigma: 0.146 | Time: 315.42s | Cur: 66.24W (S:2.62%) | Std: 32.48 | Best: 66.24W
Gen 6 (ES) | Pop: 128 | Sigma: 0.149 | Time: 314.10s | Cur: 66.24W (S:2.62%) | Std: 37.12 | Best: 66.24W
Gen 7 (ES) | Pop: 128 | Sigma: 0.152 | Time: 327.78s | Cur: 66.24W (S:2.62%) | Std: 26.79 | Best: 66.24W
Gen 8 (ES) | Pop: 128 | Sigma: 0.155 | Time: 316.12s | Cur: 66.24W (S:2.62%) | Std: 20.29 | Best: 66.24W
Gen 9 (ES) | Pop: 128 | Sigma: 0.158 | Time: 326.96s | Cur: 66.24W (S:2.62%) | Std: 17.50 | Best: 66.24W
Gen 10 (ES) | Pop: 128 | Sigma: 0.161 | Time: 312.21s | Cur: 66.24W (S:2.62%) | Std: 19.25 | Best: 66.24W
Gen 11 (ES) | Pop: 128 | Sigma: 0.164 | Time: 314.40s | Cur: 66.24W (S:2.62%) | Std: 22.26 | Best: 66.24W
Gen 12 (ES) | Pop: 128 | Sigma: 0.168 | Time: 316.83s | Cur: 66.24W (S:2.62%) | Std: 24.41 | Best: 66.24W
Gen 13 (ES) | Pop: 128 | Sigma: 0.171 | Time: 295.89s | Cur: 66.24W (S:2.62%) | Std: 18.04 | Best: 66.24W
Gen 14 (ES) | Pop: 128 | Sigma: 0.174 | Time: 286.76s | Cur: 66.24W (S:2.62%) | Std: 32.13 | Best: 66.24W
Gen 15 (ES) | Pop: 128 | Sigma: 0.178 | Time: 284.58s | Cur: 66.24W (S:2.62%) | Std: 24.75 | Best: 66.24W
Gen 16 (ES) | Pop: 128 | Sigma: 0.181 | Time: 277.98s | Cur: 66.24W (S:2.62%) | Std: 18.10 | Best: 66.24W
Gen 17 (ES) | Pop: 128 | Sigma: 0.185 | Time: 283.88s | Cur: 66.24W (S:2.62%) | Std: 27.42 | Best: 66.24W
Gen 18 (ES) | Pop: 128 | Sigma: 0.189 | Time: 277.64s | Cur: 66.24W (S:2.62%) | Std: 17.98 | Best: 66.24W
Gen 19 (ES) | Pop: 128 | Sigma: 0.193 | Time: 288.64s | Cur: 66.24W (S:2.62%) | Std: 17.59 | Best: 66.24W
Gen 20 (ES) | Pop: 128 | Sigma: 0.196 | Time: 290.15s | Cur: 66.24W (S:2.62%) | Std: 26.73 | Best: 66.24W
Gen 21 (ES) | Pop: 128 | Sigma: 0.200 | Time: 281.09s | Cur: 66.24W (S:2.62%) | Std: 19.20 | Best: 66.24W
Gen 22 (ES) | Pop: 128 | Sigma: 0.204 | Time: 290.72s | Cur: 66.24W (S:2.62%) | Std: 32.97 | Best: 66.24W
Gen 23 (ES) | Pop: 128 | Sigma: 0.208 | Time: 277.45s | Cur: 66.24W (S:2.62%) | Std: 31.56 | Best: 66.24W
Gen 24 (ES) | Pop: 128 | Sigma: 0.213 | Time: 287.82s | Cur: 66.24W (S:2.62%) | Std: 31.94 | Best: 66.24W
Gen 25 (ES) | Pop: 128 | Sigma: 0.217 | Time: 288.55s | Cur: 66.24W (S:2.62%) | Std: 31.94 | Best: 66.24W
Gen 26 (ES) | Pop: 128 | Sigma: 0.221 | Time: 288.33s | Cur: 66.24W (S:2.62%) | Std: 30.76 | Best: 66.24W
Gen 27 (ES) | Pop: 128 | Sigma: 0.226 | Time: 280.25s | Cur: 66.24W (S:2.62%) | Std: 30.19 | Best: 66.24W
Gen 28 (ES) | Pop: 128 | Sigma: 0.230 | Time: 272.87s | Cur: 66.24W (S:2.62%) | Std: 40.00 | Best: 66.24W
Gen 29 (ES) | Pop: 128 | Sigma: 0.235 | Time: 280.26s | Cur: 66.24W (S:2.62%) | Std: 28.49 | Best: 66.24W
Gen 30 (ES) | Pop: 128 | Sigma: 0.239 | Time: 284.97s | Cur: 66.24W (S:2.62%) | Std: 36.40 | Best: 66.24W
Gen 31 (ES) | Pop: 128 | Sigma: 0.244 | Time: 278.37s | Cur: 66.24W (S:2.62%) | Std: 24.80 | Best: 66.24W
Gen 32 (ES) | Pop: 128 | Sigma: 0.249 | Time: 282.32s | Cur: 66.24W (S:2.62%) | Std: 29.24 | Best: 66.24W
Gen 33 (ES) | Pop: 128 | Sigma: 0.250 | Time: 280.95s | Cur: 66.24W (S:2.62%) | Std: 28.65 | Best: 66.24W
Gen 34 (ES) | Pop: 128 | Sigma: 0.250 | Time: 280.69s | Cur: 66.24W (S:2.62%) | Std: 29.53 | Best: 66.24W
Gen 35 (ES) | Pop: 128 | Sigma: 0.250 | Time: 288.71s | Cur: 66.24W (S:2.62%) | Std: 35.52 | Best: 66.24W
Gen 36 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.78s | Cur: 66.24W (S:2.62%) | Std: 22.52 | Best: 66.24W
Gen 37 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.13s | Cur: 66.24W (S:2.62%) | Std: 23.68 | Best: 66.24W
Gen 38 (ES) | Pop: 128 | Sigma: 0.250 | Time: 278.83s | Cur: 66.24W (S:2.62%) | Std: 32.16 | Best: 66.24W
Gen 39 (ES) | Pop: 128 | Sigma: 0.250 | Time: 288.42s | Cur: 66.24W (S:2.62%) | Std: 29.64 | Best: 66.24W
Gen 40 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.00s | Cur: 66.24W (S:2.62%) | Std: 35.21 | Best: 66.24W
Gen 41 (ES) | Pop: 128 | Sigma: 0.150 | Time: 244.23s | Cur: 102.37W (S:4.76%) | Std: 60.64 | Best: 66.24W
Gen 42 (ES) | Pop: 128 | Sigma: 0.153 | Time: 248.87s | Cur: 96.35W (S:4.52%) | Std: 65.68 | Best: 66.24W
Gen 43 (ES) | Pop: 128 | Sigma: 0.156 | Time: 243.68s | Cur: 90.33W (S:4.29%) | Std: 56.55 | Best: 66.24W
