[Bypass] Ep 1 | Reward: -182.46 | Power: 911.85W | Spec: 0.1792 | Loss: 0.0000 | Ent: 0.0100 | 7.0s
[Bypass] Ep 2 | Reward: -182.47 | Power: 911.85W | Spec: 0.1958 | Loss: 0.0000 | Ent: 0.0100 | 7.6s
[Bypass] Ep 3 | Reward: -182.47 | Power: 911.85W | Spec: 0.1958 | Loss: 0.0000 | Ent: 0.0100 | 6.8s
[Bypass] Ep 4 | Reward: -182.47 | Power: 911.85W | Spec: 0.1958 | Loss: 0.0000 | Ent: 0.0099 | 7.9s
[Bypass] Ep 5 | Reward: -182.47 | Power: 911.85W | Spec: 0.1958 | Loss: -0.0134 | Ent: 0.0099 | 48.9s
[Bypass] Ep 6 | Reward: -139.73 | Power: 698.25W | Spec: 0.1583 | Loss: -0.0134 | Ent: 0.0099 | 7.7s
[Bypass] Ep 7 | Reward: -139.73 | Power: 698.25W | Spec: 0.1583 | Loss: -0.0134 | Ent: 0.0099 | 7.7s
[Bypass] Ep 8 | Reward: -139.73 | Power: 698.25W | Spec: 0.1583 | Loss: -0.0134 | Ent: 0.0099 | 7.9s
[Bypass] Ep 9 | Reward: -139.73 | Power: 698.25W | Spec: 0.1583 | Loss: -0.0134 | Ent: 0.0099 | 6.6s
[Bypass] Ep 10 | Reward: -139.73 | Power: 698.25W | Spec: 0.1583 | Loss: -0.0150 | Ent: 0.0098 | 56.7s
[Bypass] Ep 11 | Reward: -185.80 | Power: 928.51W | Spec: 0.1917 | Loss: -0.0150 | Ent: 0.0098 | 7.9s
[Bypass] Ep 12 | Reward: -139.73 | Power: 698.25W | Spec: 0.1667 | Loss: -0.0150 | Ent: 0.0098 | 8.1s
[Bypass] Ep 13 | Reward: -178.23 | Power: 890.62W | Spec: 0.2167 | Loss: -0.0150 | Ent: 0.0098 | 7.9s
[Bypass] Ep 14 | Reward: -139.73 | Power: 698.25W | Spec: 0.1667 | Loss: -0.0150 | Ent: 0.0098 | 7.9s
[Bypass] Ep 15 | Reward: -139.73 | Power: 698.25W | Spec: 0.1667 | Loss: -0.0142 | Ent: 0.0097 | 39.1s
[Bypass] Ep 16 | Reward: -168.23 | Power: 840.65W | Spec: 0.1958 | Loss: -0.0142 | Ent: 0.0097 | 7.8s
[Bypass] Ep 17 | Reward: -168.23 | Power: 840.65W | Spec: 0.1958 | Loss: -0.0142 | Ent: 0.0097 | 7.2s
[Bypass] Ep 18 | Reward: -168.23 | Power: 840.65W | Spec: 0.1958 | Loss: -0.0142 | Ent: 0.0097 | 7.7s
[Bypass] Ep 19 | Reward: -168.23 | Power: 840.65W | Spec: 0.1958 | Loss: -0.0142 | Ent: 0.0097 | 8.5s
[Bypass] Ep 20 | Reward: -168.23 | Power: 840.65W | Spec: 0.1958 | Loss: -0.0156 | Ent: 0.0097 | 51.5s
[Bypass] Ep 21 | Reward: -139.73 | Power: 698.25W | Spec: 0.1667 | Loss: -0.0156 | Ent: 0.0096 | 7.8s
[Bypass] Ep 22 | Reward: -139.73 | Power: 698.25W | Spec: 0.1667 | Loss: -0.0156 | Ent: 0.0096 | 5.9s
[Bypass] Ep 23 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0156 | Ent: 0.0096 | 6.7s
[Bypass] Ep 24 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0156 | Ent: 0.0096 | 8.1s
[Bypass] Ep 25 | Reward: -139.73 | Power: 698.25W | Spec: 0.1667 | Loss: -0.0143 | Ent: 0.0096 | 59.7s
[Bypass] Ep 26 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0143 | Ent: 0.0095 | 8.0s
[Bypass] Ep 27 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0143 | Ent: 0.0095 | 8.2s
[Bypass] Ep 28 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0143 | Ent: 0.0095 | 8.5s
[Bypass] Ep 29 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0143 | Ent: 0.0095 | 8.1s
[Bypass] Ep 30 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0146 | Ent: 0.0095 | 54.2s
[Bypass] Ep 31 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0146 | Ent: 0.0095 | 8.8s
[Bypass] Ep 32 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0146 | Ent: 0.0094 | 7.3s
[Bypass] Ep 33 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0146 | Ent: 0.0094 | 7.9s
[Bypass] Ep 34 | Reward: -136.39 | Power: 681.60W | Spec: 0.1375 | Loss: -0.0146 | Ent: 0.0094 | 7.8s
